Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1178236,South Korea K League 2,2021,2021-02-27 01:30:00,1,Gyeongnam,Anyang,1,2,3,['72'],"['31', '48']",1.91,3.55,3.3,1.87,1.77,1.83,1.83
2,1178237,South Korea K League 2,2021,2021-02-27 04:00:00,1,Ansan Greeners,Sangju Sangmu,1,1,2,['6'],['48'],5.0,3.85,1.58,1.77,2.03,1.8,1.91
3,1178238,South Korea K League 2,2021,2021-02-27 04:00:00,1,Jeonnam Dragons,Asan Mugunghwa,0,0,0,[],[],1.87,2.85,4.65,2.25,1.53,2.05,1.67
4,1178239,South Korea K League 2,2021,2021-02-28 01:30:00,1,Bucheon 1995,Daejeon Citizen,1,2,3,['84'],"['81', '89']",3.05,2.95,2.3,2.05,1.62,1.87,1.8
5,1178240,South Korea K League 2,2021,2021-02-28 04:00:00,1,Busan I'Park,Seoul E-Land,0,3,3,[],"['57', '66', '88']",2.1,3.0,3.35,2.15,1.67,2.0,1.73
6,1178241,South Korea K League 2,2021,2021-03-06 01:30:00,2,Asan Mugunghwa,Bucheon 1995,0,1,1,[],['90+2'],2.4,3.2,2.75,2.15,1.67,1.83,1.83
7,1178242,South Korea K League 2,2021,2021-03-06 04:00:00,2,Seoul E-Land,Sangju Sangmu,4,0,4,"['21', '74', '80', '83']",[],2.8,3.25,2.35,2.0,1.72,1.8,1.91
8,1178243,South Korea K League 2,2021,2021-03-06 04:00:00,2,Anyang,Ansan Greeners,1,2,3,['40'],"['59', '85']",1.82,3.25,3.8,1.65,2.25,2.0,1.73
9,1178244,South Korea K League 2,2021,2021-03-07 01:30:00,2,Daejeon Citizen,Busan I'Park,1,2,3,['45'],"['18', '33']",2.53,3.24,2.77,2.12,1.67,1.9,1.8
10,1178245,South Korea K League 2,2021,2021-03-07 04:00:00,2,Jeonnam Dragons,Gyeongnam,1,0,1,['11'],[],2.75,3.0,2.45,2.15,1.57,1.95,1.71
11,1178246,South Korea K League 2,2021,2021-03-13 01:30:00,3,Ansan Greeners,Gyeongnam,1,2,3,['87'],"['72', '90']",2.93,2.99,2.41,2.15,1.62,1.83,1.83
12,1178247,South Korea K League 2,2021,2021-03-13 04:00:00,3,Asan Mugunghwa,Busan I'Park,4,0,4,"['2', '43', '75', '85']",[],4.08,3.5,1.87,2.1,1.67,1.91,1.8
13,1178248,South Korea K League 2,2021,2021-03-14 01:30:00,3,Seoul E-Land,Jeonnam Dragons,1,1,2,['56'],['5'],2.4,2.8,3.05,2.05,1.65,1.8,1.87
14,1178249,South Korea K League 2,2021,2021-03-14 04:00:00,3,Bucheon 1995,Anyang,0,0,0,[],[],3.2,3.2,2.1,2.25,1.61,2.0,1.71
15,1178250,South Korea K League 2,2021,2021-03-14 06:30:00,3,Daejeon Citizen,Sangju Sangmu,1,2,3,['44'],"['52', '80']",2.04,3.35,3.3,2.0,1.8,1.8,1.91
16,1178251,South Korea K League 2,2021,2021-03-20 01:30:00,4,Bucheon 1995,Jeonnam Dragons,1,1,2,['26'],['40'],3.1,3.0,2.2,2.6,1.43,2.25,1.54
17,1178252,South Korea K League 2,2021,2021-03-20 04:00:00,4,Anyang,Daejeon Citizen,0,1,1,[],['45'],2.75,3.0,2.45,2.25,1.61,1.95,1.74
18,1178253,South Korea K League 2,2021,2021-03-20 06:30:00,4,Ansan Greeners,Asan Mugunghwa,1,0,1,['76'],[],2.45,3.0,2.7,2.35,1.55,2.1,1.62
