Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,South Africa Premier Soccer League,2021/2022,2021-08-20 12:00:00,0,Mamelodi Sundowns,AmaZulu,1,0,1,['44'],[],1.56,3.11,4.82,2.3,2.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,South Africa Premier Soccer League,2021/2022,2021-08-21 10:00:00,0,Orlando Pirates,Stellenbosch,2,2,4,"['18', '49']","['2', '55']",1.8,2.75,5.0,2.45,2.15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,South Africa Premier Soccer League,2021/2022,2021-08-21 10:00:00,0,Sekhukhune United,Chippa United,0,1,1,[],['16'],2.5,2.7,2.8,2.85,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,South Africa Premier Soccer League,2021/2022,2021-08-21 10:00:00,0,Golden Arrows,Maritzburg United,2,1,3,"['55', '68']",['87'],2.25,2.65,3.25,2.4,2.05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,South Africa Premier Soccer League,2021/2022,2021-08-21 12:00:00,0,Baroka,Marumo Gallants,2,0,2,"['16', '31']",[],2.72,2.55,3.12,2.57,2.05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,South Africa Premier Soccer League,2021/2022,2021-08-21 12:00:00,0,Cape Town City,SuperSport United,0,0,0,[],[],2.75,2.65,3.04,2.12,1.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,South Africa Premier Soccer League,2021/2022,2021-08-22 10:00:00,0,Moroka Swallows,Real Kings,1,0,1,['90+3'],[],1.95,2.9,3.8,2.4,2.15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,South Africa Premier Soccer League,2021/2022,2021-08-22 12:00:00,0,TS Galaxy,Kaizer Chiefs,0,0,0,[],[],2.76,3.08,2.42,1.79,1.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,South Africa Premier Soccer League,2021/2022,2021-08-24 12:00:00,0,Chippa United,Mamelodi Sundowns,0,0,0,[],[],6.0,3.0,1.65,2.35,2.45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,South Africa Premier Soccer League,2021/2022,2021-08-24 12:00:00,0,Marumo Gallants,Orlando Pirates,0,0,0,[],[],3.72,2.78,1.82,2.38,2.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,South Africa Premier Soccer League,2021/2022,2021-08-25 10:00:00,0,SuperSport United,Golden Arrows,3,1,4,"['29', '56', '82']",['90+1'],2.1,2.85,3.35,2.45,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,South Africa Premier Soccer League,2021/2022,2021-08-25 12:00:00,0,Stellenbosch,TS Galaxy,1,0,1,['55'],[],2.5,2.63,3.0,2.59,2.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,South Africa Premier Soccer League,2021/2022,2021-08-25 12:00:00,0,Maritzburg United,Sekhukhune United,0,2,2,[],"['18', '28']",1.8,3.3,4.33,2.2,2.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,South Africa Premier Soccer League,2021/2022,2021-08-25 12:00:00,0,Real Kings,Cape Town City,1,2,3,['11'],"['52', '57']",2.78,2.94,2.62,2.32,2.05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,South Africa Premier Soccer League,2021/2022,2021-08-25 12:00:00,0,AmaZulu,Moroka Swallows,0,0,0,[],[],2.4,2.6,3.05,2.45,2.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
