Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,South America Copa Libertadores,2023,2023-02-07 21:00:00,0,Sport Huancayo,Nacional Asunción,2,1,3,"['52', '90+6']",['69'],1.96,3.4,3.5,1.93,1.91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,South America Copa Libertadores,2023,2023-02-08 21:00:00,0,Nacional Potosí,CD El Nacional,1,6,7,['45+1'],"['5', '13', '16', '38', '45+4', '89']",2.0,3.25,3.4,2.01,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,South America Copa Libertadores,2023,2023-02-09 21:00:00,0,Boston River,Zamora,3,1,4,"['23', '55', '64']",['75'],1.85,3.2,4.0,2.2,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,South America Copa Libertadores,2023,2023-02-14 21:00:00,0,Nacional Asunción,Sport Huancayo,3,1,4,"['62', '69', '90+8']",['39'],1.6,3.37,4.63,2.0,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,South America Copa Libertadores,2023,2023-02-15 21:00:00,0,CD El Nacional,Nacional Potosí,3,1,4,"['18', '45', '90+1']",['55'],1.28,4.43,7.62,1.6,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,South America Copa Libertadores,2023,2023-02-16 21:00:00,0,Zamora,Boston River,0,1,1,[],['20'],1.91,3.18,3.31,2.05,1.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,South America Copa Libertadores,2023,2023-02-21 19:00:00,0,Nacional Asunción,Sporting Cristal,2,0,2,"['46', '90+7']",[],1.75,3.13,4.03,2.15,1.98,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,South America Copa Libertadores,2023,2023-02-21 21:00:00,0,Curicó Unido,Cerro Porteño,0,1,1,[],['89'],2.21,2.98,2.83,2.06,1.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,South America Copa Libertadores,2023,2023-02-22 19:00:00,0,CD El Nacional,Independiente Medellín,2,2,4,"['55', '67']","['19', '87']",2.09,2.86,3.21,2.1,1.85,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,South America Copa Libertadores,2023,2023-02-22 21:00:00,0,Boston River,Huracán,0,0,0,[],[],2.5,2.95,2.49,2.1,1.87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,South America Copa Libertadores,2023,2023-02-22 21:30:00,0,Carabobo,Atlético Mineiro,0,0,0,[],[],5.7,3.83,1.55,1.92,2.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,South America Copa Libertadores,2023,2023-02-23 19:00:00,0,Magallanes,Club Always Ready,3,0,3,"['21', '80', '89']",[],1.86,3.27,4.22,1.98,1.85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,South America Copa Libertadores,2023,2023-02-23 21:00:00,0,CD Universidad Católica,Millonarios,0,0,0,[],[],1.99,2.99,3.28,2.15,1.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,South America Copa Libertadores,2023,2023-02-23 21:00:00,0,Deportivo Maldonado,Fortaleza,0,0,0,[],[],3.22,2.88,2.07,2.1,1.85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
