Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,South America Copa Sudamericana,2022,2022-03-08 19:15:00,0,Estudiantes Mérida,Metropolitanos,0,2,2,[],"['30', '71']",2.1,2.9,3.4,2.25,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,South America Copa Sudamericana,2022,2022-03-08 19:15:00,0,Royal Pari,Oriente Petrolero,2,3,5,"['28', '85']","['18', '71', '83']",2.5,3.2,2.45,1.8,1.62,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,South America Copa Sudamericana,2022,2022-03-08 19:15:00,0,Sol de América,General Caballero JLM,0,3,3,[],"['43', '58', '90']",2.05,3.15,3.45,1.75,1.67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,South America Copa Sudamericana,2022,2022-03-08 21:30:00,0,Ñublense,Unión La Calera,0,0,0,[],[],1.49,3.4,2.48,2.15,1.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,South America Copa Sudamericana,2022,2022-03-08 21:30:00,0,Cienciano,Melgar,1,1,2,['48'],['23'],1.71,3.0,2.02,2.4,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,South America Copa Sudamericana,2022,2022-03-09 19:15:00,0,Liverpool FC Montevideo,River Plate,0,1,1,[],['18'],1.9,3.45,3.6,1.75,1.73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,South America Copa Sudamericana,2022,2022-03-09 21:30:00,0,Ayacucho,Sport Boys,2,0,2,"['35', '58']",[],1.17,3.75,5.25,2.15,2.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,South America Copa Sudamericana,2022,2022-03-09 21:30:00,0,Independiente Medellín,América de Cali,2,1,3,"['45+2', '57']",['48'],1.49,3.1,2.45,2.5,2.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,South America Copa Sudamericana,2022,2022-03-09 21:30:00,0,Mushuc Runa SC,LDU Quito,0,2,2,[],"['62', '88']",2.5,3.4,1.47,1.85,1.67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,South America Copa Sudamericana,2022,2022-03-10 19:15:00,0,Hermanos Colmenares,Deportivo La Guaira,2,0,2,"['44', '55']",[],2.7,3.2,2.5,2.19,1.83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
