Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,South Korea K League 2,2023,2023-03-01 01:30:00,1,Gyeongnam,Bucheon 1995,1,0,1,['52'],[],2.58,3.28,2.61,2.0,1.73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,South Korea K League 2,2023,2023-03-01 01:30:00,1,Cheonan City,Busan I'Park,2,3,5,"['29', '48']","['7', '11', '40']",2.7,2.99,2.7,2.1,1.82,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,South Korea K League 2,2023,2023-03-01 01:30:00,1,Jeonnam Dragons,Anyang,0,1,1,[],['90+4'],2.68,3.2,2.57,2.25,1.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,South Korea K League 2,2023,2023-03-01 04:00:00,1,Seongnam,Ansan Greeners,2,1,3,"['11', '90+7']",['45+5'],1.93,3.44,3.82,1.89,1.83,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,South Korea K League 2,2023,2023-03-01 04:00:00,1,Asan Mugunghwa,Sangju Sangmu,1,2,3,['50'],"['85', '90+3']",2.59,3.25,2.52,2.0,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,South Korea K League 2,2023,2023-03-01 04:00:00,1,Seoul E-Land,Cheongju,2,3,5,"['71', '76']","['9', '51', '64']",1.75,3.28,3.65,2.0,1.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,South Korea K League 2,2023,2023-03-04 01:30:00,2,Bucheon 1995,Seongnam,1,0,1,['33'],[],2.75,3.2,2.4,1.95,1.78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,South Korea K League 2,2023,2023-03-04 01:30:00,2,Cheongju,Sangju Sangmu,0,2,2,[],"['31', '90+2']",4.0,3.2,1.85,2.1,1.92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,South Korea K League 2,2023,2023-03-04 04:00:00,2,Ansan Greeners,Asan Mugunghwa,1,0,1,['34'],[],2.45,3.0,2.7,2.05,1.88,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,South Korea K League 2,2023,2023-03-05 01:30:00,2,Gimpo Citizen,Cheonan City,4,0,4,"['16', '84', '89', '90+9']",[],2.15,3.1,3.0,2.13,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,South Korea K League 2,2023,2023-03-05 04:00:00,2,Anyang,Seoul E-Land,1,1,2,['29'],['37'],2.15,3.0,3.0,2.15,1.83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,South Korea K League 2,2023,2023-03-05 04:00:00,2,Jeonnam Dragons,Gyeongnam,0,5,5,[],"['16', '61', '66', '73', '79']",2.45,3.0,2.6,2.15,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
