Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1454138,Spain Copa del Rey,2021/2022,2021-11-17 11:00:00,0,Nalón,Solares,1,1,2,['-1'],['-1'],5.62,3.78,1.61,1.81,1.91,0.0,0.0
2,1454139,Spain Copa del Rey,2021/2022,2021-11-17 15:00:00,0,Utrillas,Injerto,2,0,2,"['15', '57']",[],1.37,5.0,5.75,1.48,2.47,0.0,0.0
3,1454140,Spain Copa del Rey,2021/2022,2021-11-17 15:30:00,0,Victoria CF,Hernani,1,0,1,['47'],[],2.7,3.1,2.37,1.75,1.95,0.0,0.0
4,1456257,Spain Copa del Rey,2021/2022,2021-11-17 15:30:00,0,Aldeano,Unami,1,3,4,['53'],"['13', '75', '89']",7.5,4.5,1.33,1.57,2.25,0.0,0.0
5,1454141,Spain Copa del Rey,2021/2022,2021-11-17 16:00:00,0,San Agustín,Mora,6,2,8,"['7', '11', '17', '45', '75', '78']","['34', '61']",2.1,3.1,3.4,2.0,1.85,1.73,2.0
6,1454142,Spain Copa del Rey,2021/2022,2021-11-17 16:30:00,0,Mollerussa,Penya Independent,1,0,1,['80'],[],3.75,3.75,1.73,1.3,3.21,0.0,0.0
7,1454143,Spain Copa del Rey,2021/2022,2021-11-17 16:30:00,0,CFI Alicante,Ceuta 6 de Junio,7,1,8,"['22', '28', '61', '72', '81', '84', '9004']",['57'],1.22,8.32,7.83,1.47,2.5,0.0,0.0
8,1454144,Spain Copa del Rey,2021/2022,2021-11-17 16:30:00,0,Villa de Fortuna,Atlético Espeleño,1,0,1,['9001'],[],3.5,3.25,1.9,1.95,1.8,0.0,0.0
9,1454146,Spain Copa del Rey,2021/2022,2021-11-17 17:00:00,0,Huracán Melilla,Atarfe Industrial,2,1,3,"['-1', '-1']",['-1'],1.95,3.75,3.0,1.55,2.29,1.8,1.91
10,1454145,Spain Copa del Rey,2021/2022,2021-11-17 17:30:00,0,Laguna,Jaraíz,4,1,5,"['7', '19', '38', '52']",['31'],4.93,3.59,1.71,1.84,1.89,0.0,0.0
11,1458378,Spain Copa del Rey,2021/2022,2021-11-30 12:00:00,0,Marchamalo,Real Valladolid,0,1,1,[],['89'],11.63,6.85,1.15,1.57,2.3,3.0,1.36
12,1458370,Spain Copa del Rey,2021/2022,2021-11-30 12:00:00,0,Cayón,SD Huesca,0,2,2,[],"['59', '90+4']",10.29,6.68,1.17,1.61,2.15,2.5,1.44
13,1458388,Spain Copa del Rey,2021/2022,2021-11-30 14:30:00,0,Náxara CD,FC Andorra,0,1,1,[],['42'],8.5,3.9,1.45,2.1,1.73,2.38,1.53
14,1458352,Spain Copa del Rey,2021/2022,2021-11-30 15:00:00,0,Victoria CF,Villarreal,0,8,8,[],"['17', '22', '28', '37', '50', '73', '82', '87']",33.41,10.81,1.0,1.06,7.27,0.0,0.0
15,1458355,Spain Copa del Rey,2021/2022,2021-11-30 15:00:00,0,Laguna,Granada CF,0,7,7,[],"['9', '32', '41', '44', '54', '67', '76']",25.44,12.72,1.0,1.13,5.1,0.0,0.0
16,1458356,Spain Copa del Rey,2021/2022,2021-11-30 15:00:00,0,Unami,Deportivo Alavés,0,3,3,[],"['66', '82', '90+1']",20.8,9.9,1.03,1.28,3.7,7.0,1.06
17,1458376,Spain Copa del Rey,2021/2022,2021-11-30 16:00:00,0,Racing Rioja,FC Cartagena,0,2,2,[],"['65', '81']",3.3,3.8,1.95,1.85,1.93,1.73,2.0
18,1458366,Spain Copa del Rey,2021/2022,2021-11-30 16:00:00,0,Ceares,Sporting Gijón,0,1,1,[],['38'],96.0,8.5,1.04,1.42,2.69,3.42,1.27
19,1458365,Spain Copa del Rey,2021/2022,2021-11-30 16:00:00,0,CD Teruel,AD Alcorcón,0,1,1,[],['28'],4.0,3.2,1.8,2.09,1.75,1.93,1.78
20,1458397,Spain Copa del Rey,2021/2022,2021-11-30 16:30:00,0,Atlético Sanluqueño CF,CE Sabadell FC,2,0,2,"['65', '76']",[],2.0,3.0,3.5,2.3,1.6,2.16,1.68
21,1458375,Spain Copa del Rey,2021/2022,2021-11-30 17:00:00,0,Águilas FC,Almería,1,1,2,['58'],['32'],13.0,8.5,1.1,1.7,2.05,3.5,1.25
22,1458395,Spain Copa del Rey,2021/2022,2021-11-30 17:00:00,0,Albacete Balompié,Racing Club de Ferrol,2,1,3,"['61', '117']",['43'],2.2,3.0,3.0,2.38,1.55,2.05,1.7
23,1458359,Spain Copa del Rey,2021/2022,2021-11-30 17:00:00,0,CD Ebro,Celta de Vigo,0,5,5,[],"['32', '43', '55', '58', '90+2']",21.0,9.0,1.05,1.43,2.62,3.75,1.25
24,1458354,Spain Copa del Rey,2021/2022,2021-11-30 17:00:00,0,Mollerussa,Getafe CF,1,5,6,['4'],"['19', '52', '57', '58', '75']",26.0,13.0,1.04,1.14,5.8,0.0,0.0
