Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1302268,Spain Segunda División,2021/2022,2021-08-13 15:00:00,1,SD Huesca,SD Eibar,2,0,2,"['21', '68']",[],2.25,2.95,3.5,2.4,1.54,2.1,1.71
2,1302269,Spain Segunda División,2021/2022,2021-08-13 17:00:00,1,Real Zaragoza,UD Ibiza,0,0,0,[],[],1.78,3.36,5.0,2.43,1.53,2.25,1.62
3,1302270,Spain Segunda División,2021/2022,2021-08-14 12:00:00,1,Real Sociedad II,Leganés,1,0,1,['57'],[],3.8,3.0,1.96,2.4,1.57,2.1,1.74
4,1302271,Spain Segunda División,2021/2022,2021-08-14 14:30:00,1,Girona FC,SD Amorebieta,2,0,2,"['49', '86']",[],1.83,3.2,4.8,2.4,1.56,2.2,1.65
5,1302272,Spain Segunda División,2021/2022,2021-08-14 17:00:00,1,SD Ponferradina,AD Alcorcón,1,0,1,['50'],[],2.55,2.7,3.25,2.9,1.4,2.4,1.54
6,1302273,Spain Segunda División,2021/2022,2021-08-15 12:00:00,1,Sporting Gijón,Burgos CF,1,0,1,['66'],[],1.58,3.39,4.93,2.12,1.64,2.3,1.59
7,1302274,Spain Segunda División,2021/2022,2021-08-15 14:30:00,1,Real Oviedo,CD Lugo,2,2,4,"['30', '33']","['78', '89']",1.95,2.9,4.8,2.7,1.44,2.4,1.56
8,1302275,Spain Segunda División,2021/2022,2021-08-15 17:00:00,1,UD Las Palmas,Real Valladolid,1,1,2,['64'],['53'],2.95,2.9,2.6,2.3,1.59,2.0,1.77
9,1302276,Spain Segunda División,2021/2022,2021-08-15 17:00:00,1,CF Fuenlabrada,CD Tenerife,1,2,3,['67'],"['4', '90+4']",2.5,2.75,3.3,2.7,1.44,2.25,1.62
10,1302277,Spain Segunda División,2021/2022,2021-08-16 15:00:00,1,Málaga CF,Mirandés,0,0,0,[],[],2.11,2.85,3.85,2.7,1.4,2.4,1.54
11,1302278,Spain Segunda División,2021/2022,2021-08-16 17:00:00,1,FC Cartagena,Almería,1,3,4,['49'],"['19', '35', '61']",3.1,2.9,2.5,2.3,1.61,2.0,1.8
12,1302288,Spain Segunda División,2021/2022,2021-08-20 15:00:00,2,Real Valladolid,Real Zaragoza,2,0,2,"['17', '90']",[],1.71,3.35,5.5,2.4,1.54,2.35,1.57
13,1302279,Spain Segunda División,2021/2022,2021-08-20 17:00:00,2,Almería,Real Oviedo,2,1,3,"['5', '45+2']",['15'],1.71,3.4,5.25,2.1,1.71,2.05,1.74
