Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Spain Copa del Rey,2022/2023,2022-10-19 14:30:00,0,Amigó,Fuentes,0,3,3,[],"['21', '33', '65']",4.1,4.1,1.65,1.4,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Spain Copa del Rey,2022/2023,2022-10-19 14:30:00,0,Ceuta 6 de Junio,Alcora,0,3,3,[],"['-1', '-1', '-1']",0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Spain Copa del Rey,2022/2023,2022-10-19 15:00:00,0,Velarde,Turégano,1,0,1,['85'],[],1.76,3.6,4.1,1.7,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Spain Copa del Rey,2022/2023,2022-10-19 15:00:00,0,Autol,Dinamo San Juan,1,1,2,['-1'],['-1'],2.04,4.1,2.8,1.45,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Spain Copa del Rey,2022/2023,2022-10-19 15:00:00,0,CD Algar,Melilla CD,4,1,5,"['7', '44', '49', '54']",['16'],2.04,4.1,2.8,1.57,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,Spain Copa del Rey,2022/2023,2022-10-19 15:00:00,0,Santa Amalia,Universitario FC,2,1,3,"['25', '9001']",['73'],1.47,5.15,7.1,1.52,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,Spain Copa del Rey,2022/2023,2022-10-19 15:30:00,0,Barbadás,Atlético Lugones,2,1,3,"['40', '67']",['74'],2.8,3.35,2.29,1.85,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,Spain Copa del Rey,2022/2023,2022-10-19 15:30:00,0,Mollerussa,Cardassar,4,2,6,"['13', '35', '102', '12002']","['25', '53']",1.47,4.7,5.2,1.57,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,Spain Copa del Rey,2022/2023,2022-10-19 15:30:00,0,Montilla,Rincón,0,0,0,[],[],2.85,3.4,2.24,1.85,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Spain Copa del Rey,2022/2023,2022-10-19 15:30:00,0,Cazalegas,Los Yébenes SB,2,1,3,"['-1', '-1']",['-1'],1.52,4.6,4.6,1.4,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,Spain Copa del Rey,2022/2023,2022-11-12 12:00:00,0,Barbadás,Real Valladolid,0,2,2,[],"['12', '39']",35.0,14.0,1.05,1.08,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Spain Copa del Rey,2022/2023,2022-11-12 12:00:00,0,Fuentes,CA Osasuna,1,4,5,['44'],"['42', '49', '54', '64']",35.0,14.0,1.05,1.13,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,Spain Copa del Rey,2022/2023,2022-11-12 12:00:00,0,CE Manacor,FC Andorra,1,3,4,['60'],"['35', '50', '55']",6.0,4.2,1.5,1.89,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,Spain Copa del Rey,2022/2023,2022-11-12 13:00:00,0,Atlético Saguntino,SD Amorebieta,1,0,1,['116'],[],3.15,3.35,2.3,2.25,1.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Spain Copa del Rey,2022/2023,2022-11-12 13:00:00,0,CD Guijuelo,Deportivo La Coruña,2,0,2,"['70', '72']",[],3.7,3.25,2.05,2.17,1.95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,Spain Copa del Rey,2022/2023,2022-11-12 13:00:00,0,UE Olot,Levante UD,0,4,4,[],"['6', '26', '32', '35']",7.5,4.2,1.44,1.82,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,Spain Copa del Rey,2022/2023,2022-11-12 13:00:00,0,CDA Navalcarnero,UD Logroñés,1,3,4,['65'],"['86', '93', '104']",3.3,3.3,2.2,2.23,1.95,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,Spain Copa del Rey,2022/2023,2022-11-12 14:00:00,0,Huétor Tájar,Albacete Balompié,0,3,3,[],"['104', '110', '118']",8.0,4.75,1.36,1.73,1.83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Spain Copa del Rey,2022/2023,2022-11-12 14:00:00,0,Beasain,Sporting Gijón,2,3,5,"['25', '56']","['8', '75', '120']",6.0,3.9,1.57,1.95,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20,Spain Copa del Rey,2022/2023,2022-11-12 14:00:00,0,Arenas de Getxo,CD Lugo,1,0,1,['75'],[],5.2,3.9,1.66,2.05,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Spain Copa del Rey,2022/2023,2022-11-12 14:00:00,0,Utrera,Ceuta,0,1,1,[],['84'],3.4,3.3,2.21,2.4,1.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Spain Copa del Rey,2022/2023,2022-11-12 14:00:00,0,Gernika Club,Leganés,0,0,0,[],[],7.5,4.2,1.45,1.95,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Spain Copa del Rey,2022/2023,2022-11-12 14:00:00,0,Guadalajara,SD Ponferradina,2,1,3,"['11', '21']",['77'],5.0,3.6,1.73,2.05,2.05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,Spain Copa del Rey,2022/2023,2022-11-12 14:00:00,0,Sestao River Club,Racing Club de Ferrol,1,0,1,['47'],[],3.6,3.25,2.1,2.0,1.85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Spain Copa del Rey,2022/2023,2022-11-12 14:00:00,0,Racing Rioja,Gimnàstic de Tarragona,0,2,2,[],"['12', '26']",3.75,3.1,2.05,2.2,1.85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Spain Copa del Rey,2022/2023,2022-11-12 14:30:00,0,Alcora,Elche CF,0,3,3,[],"['2', '13', '66']",33.0,14.0,1.04,1.18,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Spain Copa del Rey,2022/2023,2022-11-12 14:30:00,0,Autol,RCD Mallorca,0,6,6,[],"['16', '18', '29', '35', '72', '88']",35.0,14.0,1.05,1.02,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,Spain Copa del Rey,2022/2023,2022-11-12 16:00:00,0,CP Cacereño,Córdoba,3,0,3,"['10', '45+1', '83']",[],3.4,3.25,1.97,1.95,1.91,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,Spain Copa del Rey,2022/2023,2022-11-12 16:00:00,0,CD Coria,CF Fuenlabrada,2,0,2,"['41', '55']",[],3.35,3.15,2.03,2.05,1.85,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,Spain Copa del Rey,2022/2023,2022-11-12 16:00:00,0,Cristo Atlético,UD Ibiza,0,2,2,[],"['98', '119']",4.6,3.6,1.63,1.87,1.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Spain Copa del Rey,2022/2023,2022-11-12 17:00:00,0,Santa Amalia,Villarreal,0,9,9,[],"['31', '35', '36', '47', '49', '61', '74', '80', '87']",46.0,23.0,0.0,1.09,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,Spain Copa del Rey,2022/2023,2022-11-12 17:00:00,0,Rincón,RCD Espanyol,0,3,3,[],"['60', '70', '83']",46.0,19.0,1.01,1.07,4.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Spain Copa del Rey,2022/2023,2022-11-12 18:00:00,0,Almazán,Atlético Madrid,0,2,2,[],"['35', '63']",21.0,15.0,1.03,1.05,2.81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Spain Copa del Rey,2022/2023,2022-11-13 08:00:00,0,Juventud Torremolinos,SD Huesca,2,2,4,"['23', '30']","['52', '72']",6.45,4.0,1.46,1.83,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35,Spain Copa del Rey,2022/2023,2022-11-13 08:00:00,0,CD Lealtad,CD Tenerife,0,2,2,[],"['3', '84']",8.35,5.65,1.25,1.67,2.38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Spain Copa del Rey,2022/2023,2022-11-13 08:00:00,0,Atlético Paso,Real Murcia,1,1,2,['86'],['15'],4.1,3.25,1.86,2.01,1.95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
