Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Spain Segunda División,2022/2023,2022-08-12 16:00:00,1,Levante UD,SD Huesca,0,0,0,[],[],1.73,3.3,4.33,1.95,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Spain Segunda División,2022/2023,2022-08-13 12:00:00,1,SD Eibar,CD Tenerife,2,1,3,"['56', '85']",['50'],2.03,3.15,3.85,2.47,2.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,Spain Segunda División,2022/2023,2022-08-13 14:00:00,1,Mirandés,Sporting Gijón,1,1,2,['27'],['34'],2.81,3.1,2.55,2.03,1.83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,Spain Segunda División,2022/2023,2022-08-13 16:00:00,1,Leganés,Deportivo Alavés,1,2,3,['68'],"['20', '75']",2.6,3.1,2.76,2.27,1.91,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,Spain Segunda División,2022/2023,2022-08-13 18:00:00,1,UD Las Palmas,Real Zaragoza,0,0,0,[],[],1.95,3.3,3.93,2.23,2.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Spain Segunda División,2022/2023,2022-08-14 12:30:00,1,Racing Santander,Villarreal II,0,2,2,[],"['90+2', '90+6']",2.07,3.02,3.35,2.4,2.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Spain Segunda División,2022/2023,2022-08-14 14:30:00,1,UD Ibiza,Granada CF,0,2,2,[],"['50', '73']",2.95,3.05,2.32,2.0,1.83,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Spain Segunda División,2022/2023,2022-08-14 17:00:00,1,Burgos CF,Málaga CF,1,0,1,['62'],[],2.26,2.9,3.2,2.55,2.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Spain Segunda División,2022/2023,2022-08-15 12:30:00,1,Real Oviedo,FC Andorra,0,1,1,[],['90+5'],1.67,3.3,5.0,2.15,2.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Spain Segunda División,2022/2023,2022-08-15 14:30:00,1,CD Lugo,Albacete Balompié,1,2,3,['17'],"['43', '82']",2.05,2.9,3.5,2.3,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,Spain Segunda División,2022/2023,2022-08-15 17:00:00,1,FC Cartagena,SD Ponferradina,2,3,5,"['35', '88']","['7', '51', '61']",2.1,2.9,3.3,2.3,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,Spain Segunda División,2022/2023,2022-08-19 15:00:00,2,Villarreal II,SD Eibar,2,2,4,"['38', '45+2']","['15', '89']",2.67,3.05,2.39,2.28,2.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,Spain Segunda División,2022/2023,2022-08-19 17:00:00,2,Deportivo Alavés,Mirandés,1,0,1,['43'],[],1.67,3.45,5.0,2.05,2.02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Spain Segunda División,2022/2023,2022-08-20 12:30:00,2,Sporting Gijón,FC Andorra,4,1,5,"['22', '59', '72', '89']",['90+4'],1.75,3.45,4.9,2.28,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,Spain Segunda División,2022/2023,2022-08-20 14:30:00,2,Real Zaragoza,Levante UD,0,0,0,[],[],3.0,3.1,2.47,2.28,1.98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Spain Segunda División,2022/2023,2022-08-20 14:30:00,2,Albacete Balompié,Burgos CF,0,0,0,[],[],2.15,3.0,3.8,2.59,2.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Spain Segunda División,2022/2023,2022-08-20 17:00:00,2,Granada CF,Racing Santander,2,0,2,"['67', '90+1']",[],1.5,4.15,6.5,1.88,2.07,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,Spain Segunda División,2022/2023,2022-08-21 12:30:00,2,Real Oviedo,Leganés,1,0,1,['80'],[],2.13,2.9,3.5,2.69,2.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Spain Segunda División,2022/2023,2022-08-21 14:30:00,2,SD Huesca,FC Cartagena,2,3,5,"['45+1', '85']","['31', '65', '90+8']",2.01,3.1,3.55,2.2,1.91,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20,Spain Segunda División,2022/2023,2022-08-21 17:00:00,2,CD Tenerife,CD Lugo,1,1,2,['37'],['65'],1.59,3.3,6.0,2.41,2.38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,Spain Segunda División,2022/2023,2022-08-22 15:00:00,2,SD Ponferradina,UD Ibiza,2,1,3,"['36', '50']",['41'],2.04,3.4,4.09,2.15,1.91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,Spain Segunda División,2022/2023,2022-08-22 17:00:00,2,Málaga CF,UD Las Palmas,0,4,4,[],"['44', '56', '70', '87']",2.62,2.9,3.04,2.25,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,Spain Segunda División,2022/2023,2022-08-26 15:00:00,3,Albacete Balompié,SD Huesca,2,1,3,"['17', '90+6']",['84'],2.22,3.06,2.69,2.4,1.91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,Spain Segunda División,2022/2023,2022-08-26 17:00:00,3,FC Cartagena,Real Zaragoza,1,0,1,['82'],[],2.3,3.06,2.57,2.1,1.91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Spain Segunda División,2022/2023,2022-08-27 12:30:00,3,Sporting Gijón,Burgos CF,0,0,0,[],[],1.91,3.2,4.2,2.3,2.19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
