Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Spain Segunda División B,2022/2023,2022-08-27 11:00:00,1,Osasuna II,CD Atlético Baleares,0,0,0,[],[],2.61,3.07,2.61,2.03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Spain Segunda División B,2022/2023,2022-08-27 14:00:00,1,Barcelona II,CD Castellón,3,2,5,"['11', '66', '90+7']","['42', '45']",1.82,3.23,4.29,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,Spain Segunda División B,2022/2023,2022-08-27 14:30:00,1,Real Madrid II,Linense,2,2,4,"['25', '63']","['48', '90+2']",1.85,3.2,3.95,2.03,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,Spain Segunda División B,2022/2023,2022-08-27 14:30:00,1,San Fernando CD,Ceuta,1,0,1,['42'],[],2.0,3.15,3.4,2.09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Spain Segunda División B,2022/2023,2022-08-27 16:30:00,1,Córdoba,Unionistas de Salamanca CF,4,1,5,"['54', '61', '75', '89']",['71'],1.62,3.58,5.1,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,Spain Segunda División B,2022/2023,2022-08-27 16:30:00,1,CE Sabadell FC,SD Amorebieta,1,1,2,['47'],['83'],2.24,3.08,2.86,2.15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Spain Segunda División B,2022/2023,2022-08-27 16:30:00,1,Rayo Majadahonda,Racing Club de Ferrol,0,1,1,[],['90+2'],2.23,2.97,2.97,2.16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Spain Segunda División B,2022/2023,2022-08-27 16:30:00,1,Real Murcia,CD Calahorra,0,0,0,[],[],1.66,3.41,5.08,2.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Spain Segunda División B,2022/2023,2022-08-28 07:00:00,1,Real Unión,UE Cornellà,2,0,2,"['4501', '67']",[],1.91,3.1,3.75,2.15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,Spain Segunda División B,2022/2023,2022-08-28 07:00:00,1,Celta de Vigo II,SS Reyes,1,2,3,['40'],"['11', '15']",2.0,3.1,3.5,2.05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,Spain Segunda División B,2022/2023,2022-08-28 07:00:00,1,Real Sociedad II,CD Eldense,2,0,2,"['49', '58']",[],2.25,2.95,3.05,2.08,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
