Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1178421,Sweden Allsvenskan,2021,2021-04-10 10:00:00,1,Malmö FF,Hammarby,3,2,5,"['36', '40', '90']","['20', '45+7']",1.77,3.75,4.2,1.6,2.33,1.59,2.1
2,1178423,Sweden Allsvenskan,2021,2021-04-10 12:30:00,1,Örebro,IFK Göteborg,0,0,0,[],[],3.35,3.25,2.15,2.0,1.9,1.71,1.91
3,1178417,Sweden Allsvenskan,2021,2021-04-11 10:00:00,1,Halmstad,Häcken,1,0,1,['84'],[],3.6,3.45,2.05,1.91,1.87,1.8,1.95
4,1178422,Sweden Allsvenskan,2021,2021-04-11 10:00:00,1,Mjällby,Varberg,0,0,0,[],[],2.1,3.35,3.45,2.05,1.77,1.83,1.91
5,1178418,Sweden Allsvenskan,2021,2021-04-11 12:30:00,1,Elfsborg,Djurgården,0,2,2,[],"['12', '57']",2.9,3.3,2.4,1.91,1.87,1.74,2.05
6,1178419,Sweden Allsvenskan,2021,2021-04-11 12:30:00,1,Norrköping,Sirius,1,1,2,['24'],['56'],1.56,4.1,6.0,1.54,2.4,1.62,2.2
7,1178416,Sweden Allsvenskan,2021,2021-04-12 14:00:00,1,AIK,Degerfors,2,0,2,"['38', '65']",[],1.85,3.6,4.25,1.97,1.75,2.0,1.77
8,1178420,Sweden Allsvenskan,2021,2021-04-12 14:00:00,1,Kalmar,Östersunds FK,0,0,0,[],[],2.1,3.25,3.75,1.95,1.76,1.87,1.91
9,1178427,Sweden Allsvenskan,2021,2021-04-17 10:00:00,2,Hammarby,Mjällby,2,0,2,"['45', '75']",[],1.5,4.0,5.2,1.57,2.25,1.69,2.1
10,1178424,Sweden Allsvenskan,2021,2021-04-18 10:00:00,2,Häcken,Malmö FF,1,2,3,['53'],"['9', '20']",3.65,3.6,1.95,1.87,1.91,1.8,1.95
11,1178425,Sweden Allsvenskan,2021,2021-04-18 10:00:00,2,Degerfors,Kalmar,0,1,1,[],['40'],2.2,3.4,3.25,2.0,1.8,1.83,1.91
12,1178431,Sweden Allsvenskan,2021,2021-04-18 10:00:00,2,Östersunds FK,Örebro,5,0,5,"['13', '29', '40', '74', '80']",[],2.7,3.15,2.7,2.05,1.74,1.8,1.95
13,1178429,Sweden Allsvenskan,2021,2021-04-18 12:30:00,2,Sirius,Halmstad,1,0,1,['86'],[],2.4,3.2,3.05,2.0,1.77,1.8,1.95
