Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1568650,Sweden Superettan,2022,2022-04-02 10:00:00,1,Jönköpings Södra,AFC Eskilstuna,2,3,5,"['34', '57']","['44', '70', '79']",2.15,3.2,3.0,1.8,1.9,1.7,2.05
2,1568651,Sweden Superettan,2022,2022-04-02 10:00:00,1,Brommapojkarna,Västerås SK,2,1,3,"['5', '81']",['45+2'],2.25,3.2,2.8,1.74,1.98,1.67,2.1
3,1568652,Sweden Superettan,2022,2022-04-03 08:00:00,1,Norrby,Dalkurd,1,0,1,['66'],[],1.82,3.6,4.0,1.75,1.98,1.7,2.05
4,1568653,Sweden Superettan,2022,2022-04-03 08:00:00,1,Trelleborg,Utsikten,1,0,1,['19'],[],1.81,3.45,3.9,1.9,1.9,1.8,1.95
5,1568654,Sweden Superettan,2022,2022-04-03 10:00:00,1,Östersunds FK,Skövde AIK,2,3,5,"['38', '50']","['13', '64', '90+3']",1.9,3.4,3.6,1.9,1.9,1.75,2.0
6,1568655,Sweden Superettan,2022,2022-04-04 14:00:00,1,Landskrona,Öster,1,3,4,['61'],"['24', '79', '90+2']",2.3,3.1,2.9,2.3,1.57,1.95,1.8
7,1568656,Sweden Superettan,2022,2022-04-04 15:00:00,1,Brage,Örebro,3,0,3,"['8', '12', '24']",[],2.23,3.2,2.95,1.88,1.98,1.67,2.1
8,1568657,Sweden Superettan,2022,2022-04-05 14:00:00,1,Örgryte,Halmstad,2,2,4,"['18', '58']","['86', '90']",2.75,3.1,2.55,2.32,1.61,1.91,1.91
9,1568658,Sweden Superettan,2022,2022-04-09 08:00:00,2,AFC Eskilstuna,Örgryte,4,3,7,"['10', '22', '49', '58']","['37', '80', '85']",2.45,3.1,2.65,1.91,1.83,1.73,1.99
10,1568659,Sweden Superettan,2022,2022-04-09 10:00:00,2,Dalkurd,Trelleborg,2,0,2,"['36', '38']",[],2.45,3.34,2.94,2.07,1.76,1.79,1.92
11,1568660,Sweden Superettan,2022,2022-04-09 10:00:00,2,Skövde AIK,Landskrona,2,0,2,"['67', '77']",[],2.86,3.34,2.5,2.12,1.71,1.85,1.85
12,1568661,Sweden Superettan,2022,2022-04-10 08:00:00,2,Öster,Brage,1,2,3,['50'],"['31', '58']",1.93,3.4,3.9,2.1,1.75,1.85,1.85
13,1568662,Sweden Superettan,2022,2022-04-10 10:00:00,2,Utsikten,Brommapojkarna,3,2,5,"['18', '48', '65']","['69', '87']",2.9,3.3,2.38,2.05,1.78,1.85,1.85
14,1568664,Sweden Superettan,2022,2022-04-11 14:00:00,2,Halmstad,Norrby,1,2,3,['41'],"['70', '79']",1.74,3.6,4.1,1.97,1.76,1.95,1.76
15,1568663,Sweden Superettan,2022,2022-04-11 14:00:00,2,Västerås SK,Östersunds FK,1,1,2,['90+6'],['15'],2.43,3.1,2.7,2.0,1.8,1.8,1.91
16,1568665,Sweden Superettan,2022,2022-04-12 14:00:00,2,Örebro,Jönköpings Södra,3,1,4,"['64', '80', '90+8']",['21'],2.09,3.5,3.5,1.95,1.9,1.7,2.15
17,1568666,Sweden Superettan,2022,2022-04-17 08:00:00,3,Västerås SK,Utsikten,0,3,3,[],"['4', '51', '73']",2.0,3.75,3.2,2.0,1.85,1.85,1.85
18,1568667,Sweden Superettan,2022,2022-04-17 10:00:00,3,AFC Eskilstuna,Landskrona,2,0,2,"['50', '78']",[],1.83,3.5,3.8,1.85,2.0,1.73,2.0
19,1568668,Sweden Superettan,2022,2022-04-18 08:00:00,3,Brommapojkarna,Skövde AIK,2,2,4,"['60', '89']","['9', '50']",1.71,3.94,4.75,1.85,1.85,1.73,2.0
20,1568669,Sweden Superettan,2022,2022-04-18 10:00:00,3,Brage,Jönköpings Södra,1,2,3,['42'],"['6', '65']",2.05,3.68,3.44,1.83,1.83,1.7,2.05
21,1568670,Sweden Superettan,2022,2022-04-18 10:00:00,3,Norrby,Örebro,0,2,2,[],"['45', '90']",2.04,3.58,3.58,1.9,1.8,1.73,2.0
22,1568671,Sweden Superettan,2022,2022-04-18 12:00:00,3,Dalkurd,Halmstad,0,1,1,[],['79'],3.5,3.5,2.09,1.9,1.81,1.73,2.0
23,1568672,Sweden Superettan,2022,2022-04-18 12:00:00,3,Örgryte,Öster,0,1,1,[],['33'],2.46,3.37,2.89,1.95,1.77,1.75,2.05
24,1568673,Sweden Superettan,2022,2022-04-19 14:00:00,3,Trelleborg,Östersunds FK,1,1,2,['47'],['77'],1.95,3.35,3.87,1.9,1.8,1.83,1.95
25,1568674,Sweden Superettan,2022,2022-04-23 08:00:00,4,Östersunds FK,Dalkurd,1,0,1,['68'],[],1.95,3.2,3.4,1.95,1.8,1.8,1.91
26,1568675,Sweden Superettan,2022,2022-04-23 10:00:00,4,Jönköpings Södra,Trelleborg,2,3,5,"['67', '90+3']","['27', '41', '90+5']",2.3,3.1,2.75,1.91,1.8,1.67,2.1
27,1568676,Sweden Superettan,2022,2022-04-23 10:00:00,4,Utsikten,AFC Eskilstuna,2,3,5,"['71', '90+8']","['45+2', '59', '88']",2.4,3.2,2.55,1.75,1.95,1.67,2.1
28,1568677,Sweden Superettan,2022,2022-04-24 08:00:00,4,Skövde AIK,Norrby,2,0,2,"['29', '39']",[],2.76,3.13,2.72,1.99,1.91,1.8,1.91
29,1568678,Sweden Superettan,2022,2022-04-24 10:00:00,4,Brage,Brommapojkarna,3,1,4,"['3', '75', '79']",['51'],2.46,3.32,2.96,1.79,1.96,1.67,2.1
30,1568679,Sweden Superettan,2022,2022-04-25 14:00:00,4,Landskrona,Örgryte,3,2,5,"['2', '38', '45+1']","['73', '79']",2.62,3.13,2.33,2.05,1.67,1.8,1.95
31,1568680,Sweden Superettan,2022,2022-04-25 14:00:00,4,Öster,Västerås SK,1,1,2,['53'],['20'],1.96,3.12,3.35,2.15,1.61,2.0,1.75
32,1568681,Sweden Superettan,2022,2022-04-26 14:00:00,4,Örebro,Halmstad,0,2,2,[],"['33', '87']",2.55,3.3,2.65,2.0,1.8,1.91,1.91
33,1568682,Sweden Superettan,2022,2022-04-30 08:00:00,5,Brommapojkarna,Jönköpings Södra,2,1,3,"['73', '84']",['35'],1.69,3.31,4.24,1.71,2.14,1.62,2.2
34,1568683,Sweden Superettan,2022,2022-04-30 10:00:00,5,AFC Eskilstuna,Skövde AIK,1,2,3,['30'],"['26', '40']",1.69,3.31,4.24,1.74,1.87,1.67,2.1
35,1568684,Sweden Superettan,2022,2022-04-30 10:00:00,5,Trelleborg,Brage,2,2,4,"['51', '55']","['84', '86']",1.73,3.25,4.08,1.74,1.87,1.7,2.05
36,1568685,Sweden Superettan,2022,2022-05-01 08:00:00,5,Västerås SK,Örebro,2,1,3,"['4', '11']",['45+1'],2.55,3.55,2.46,1.86,2.0,1.7,2.05
37,1568686,Sweden Superettan,2022,2022-05-01 10:00:00,5,Örgryte,Utsikten,0,2,2,[],"['39', '49']",2.08,3.5,3.2,1.87,1.87,1.67,2.1
38,1568687,Sweden Superettan,2022,2022-05-02 14:00:00,5,Dalkurd,Öster,0,3,3,[],"['2', '47', '66']",3.5,3.3,2.0,2.15,1.67,1.91,1.91
39,1568688,Sweden Superettan,2022,2022-05-02 14:00:00,5,Norrby,Landskrona,0,0,0,[],[],1.66,3.7,4.75,1.86,1.74,1.95,1.8
40,1568689,Sweden Superettan,2022,2022-05-03 14:00:00,5,Halmstad,Östersunds FK,2,0,2,"['12', '70']",[],1.44,4.1,7.6,1.96,1.75,2.25,1.57
41,1568690,Sweden Superettan,2022,2022-05-07 08:00:00,6,Brommapojkarna,Trelleborg,4,2,6,"['4', '13', '51', '55']","['52', '90+2']",2.07,3.4,3.35,1.85,1.89,1.7,2.05
42,1568692,Sweden Superettan,2022,2022-05-07 10:00:00,6,Öster,Norrby,2,0,2,"['76', '85']",[],2.15,3.1,3.4,2.19,1.6,1.85,1.85
43,1568691,Sweden Superettan,2022,2022-05-07 10:00:00,6,AFC Eskilstuna,Västerås SK,5,2,7,"['74', '80', '81', '83', '90+1']","['20', '26']",1.95,3.45,3.6,1.78,1.97,1.67,2.1
44,1568693,Sweden Superettan,2022,2022-05-08 08:00:00,6,Brage,Örgryte,4,0,4,"['45+5', '48', '56', '64']",[],1.73,3.4,4.2,1.81,1.9,1.73,2.0
45,1568694,Sweden Superettan,2022,2022-05-08 10:00:00,6,Utsikten,Dalkurd,3,0,3,"['24', '38', '89']",[],2.2,3.1,3.0,1.93,1.78,1.73,2.0
46,1568695,Sweden Superettan,2022,2022-05-09 14:00:00,6,Örebro,Östersunds FK,1,0,1,['83'],[],1.88,3.4,3.59,1.9,1.96,1.73,2.0
47,1568696,Sweden Superettan,2022,2022-05-09 14:00:00,6,Skövde AIK,Halmstad,1,3,4,['33'],"['36', '49', '70']",2.97,3.11,2.22,2.04,1.82,1.8,1.91
