Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Sweden Superettan,2021,2021-04-10 10:00:00,1,Falkenberg,GAIS,0,1,1,[],['50'],1.84,3.5,4.0,1.82,1.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Sweden Superettan,2021,2021-04-10 10:00:00,1,Landskrona,Värnamo,2,0,2,"['24', '57']",[],2.41,3.35,2.75,1.97,1.74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,Sweden Superettan,2021,2021-04-11 08:00:00,1,Akropolis,Brage,1,1,2,['34'],['56'],2.5,3.0,2.5,1.73,1.67,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,Sweden Superettan,2021,2021-04-11 08:00:00,1,Örgryte,Öster,0,1,1,[],['59'],2.3,3.15,2.65,1.85,1.77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Sweden Superettan,2021,2021-04-11 10:00:00,1,Jönköpings Södra,Vasalund,5,1,6,"['52', '60', '68', '71', '85']",['14'],1.95,3.5,3.75,1.69,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,Sweden Superettan,2021,2021-04-11 10:00:00,1,Trelleborg,Norrby,2,1,3,"['82', '88']",['43'],1.83,3.65,4.05,2.0,1.95,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,Sweden Superettan,2021,2021-04-12 14:00:00,1,Västerås SK,AFC Eskilstuna,0,0,0,[],[],2.04,3.5,3.65,1.67,1.61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Sweden Superettan,2021,2021-04-13 14:00:00,1,GIF Sundsvall,Helsingborg,2,2,4,"['23', '90+2']","['18', '61']",2.35,3.3,2.65,1.75,1.62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,Sweden Superettan,2021,2021-04-17 08:00:00,2,AFC Eskilstuna,Akropolis,3,0,3,"['44', '80', '85']",[],2.35,3.2,2.62,1.73,1.61,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,Sweden Superettan,2021,2021-04-17 10:00:00,2,GAIS,Västerås SK,1,0,1,['58'],[],2.8,3.1,2.3,1.91,1.71,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
