Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,2465580,Switzerland Challenge League,2022/2023,2022-07-15 14:30:00,1,FC Schaffhausen,Thun,1,0,1,['45'],[],1.72,3.75,2.05,1.48,2.6,1.44,2.63
2,2465581,Switzerland Challenge League,2022/2023,2022-07-15 14:30:00,1,Yverdon Sport,Stade Lausanne-Ouchy,2,1,3,"['11', '55']",['40'],1.95,3.6,1.8,1.7,2.1,1.62,2.2
3,2465582,Switzerland Challenge League,2022/2023,2022-07-15 15:15:00,1,Aarau,Vaduz,1,1,2,['10'],['83'],1.4,4.0,2.8,1.44,2.7,1.44,2.63
4,2465583,Switzerland Challenge League,2022/2023,2022-07-16 13:00:00,1,Bellinzona,Lausanne Sport,1,0,1,['66'],[],2.15,3.8,1.63,1.62,2.25,1.57,2.25
5,2465584,Switzerland Challenge League,2022/2023,2022-07-17 09:15:00,1,Wil,Neuchâtel Xamax,2,0,2,"['32', '42']",[],2.38,3.4,2.5,1.54,2.4,1.44,2.63
6,2465585,Switzerland Challenge League,2022/2023,2022-07-22 14:30:00,2,Neuchâtel Xamax,Aarau,1,2,3,['37'],"['45+1', '70']",3.6,4.2,1.85,1.5,2.5,1.5,2.5
7,2465586,Switzerland Challenge League,2022/2023,2022-07-22 15:15:00,2,Lausanne Sport,FC Schaffhausen,5,1,6,"['11', '24', '75', '78', '90+2']",['21'],1.8,4.33,3.8,1.57,2.35,1.62,2.2
8,2465587,Switzerland Challenge League,2022/2023,2022-07-22 15:15:00,2,Thun,Bellinzona,1,1,2,['29'],['90+1'],1.75,4.2,4.2,1.53,2.4,1.57,2.25
9,2465588,Switzerland Challenge League,2022/2023,2022-07-23 13:00:00,2,Stade Lausanne-Ouchy,Wil,2,1,3,"['35', '50']",['3'],2.05,4.0,3.2,1.48,2.6,1.44,2.63
10,2465589,Switzerland Challenge League,2022/2023,2022-07-24 09:15:00,2,Vaduz,Yverdon Sport,3,3,6,"['3', '84', '90+4']","['21', '41', '68']",1.54,3.75,4.09,1.57,2.25,1.57,2.25
