Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Switzerland Super League,2021/2022,2021-07-24 13:00:00,1,Luzern,Young Boys,3,4,7,"['27', '41', '52']","['14', '59', '68', '90+3']",3.1,3.65,2.2,1.62,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Switzerland Super League,2021/2022,2021-07-24 15:30:00,1,Lausanne Sport,St. Gallen,1,2,3,['87'],"['45+1', '71']",2.2,3.4,2.9,1.61,1.51,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,Switzerland Super League,2021/2022,2021-07-25 09:15:00,1,Lugano,Zürich,0,2,2,[],"['20', '45']",2.3,3.45,3.0,1.91,1.74,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Switzerland Super League,2021/2022,2021-07-25 11:30:00,1,Grasshopper,Basel,0,2,2,[],"['54', '70']",3.9,3.5,1.83,1.67,1.62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Switzerland Super League,2021/2022,2021-07-25 11:30:00,1,Sion,Servette,1,2,3,['90+5'],"['31', '53']",3.25,3.4,2.05,1.7,1.69,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,Switzerland Super League,2021/2022,2021-07-31 13:00:00,2,Zürich,Lausanne Sport,3,1,4,"['7', '15', '41']",['11'],2.2,3.4,3.2,1.74,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,Switzerland Super League,2021/2022,2021-07-31 15:30:00,2,Young Boys,Grasshopper,0,0,0,[],[],1.34,5.25,8.25,1.5,1.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Switzerland Super League,2021/2022,2021-08-01 09:15:00,2,St. Gallen,Luzern,2,2,4,"['1', '13']","['82', '90+6']",2.15,3.75,3.05,1.53,1.47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,Switzerland Super League,2021/2022,2021-08-01 11:30:00,2,Servette,Lugano,0,2,2,[],"['47', '49']",1.91,3.4,4.0,1.75,1.67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Switzerland Super League,2021/2022,2021-08-01 11:30:00,2,Basel,Sion,6,1,7,"['4', '15', '21', '42', '44', '55']",['88'],1.6,3.8,5.5,1.53,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,Switzerland Super League,2021/2022,2021-08-07 13:00:00,3,Sion,Young Boys,1,0,1,['24'],[],2.15,3.5,2.4,1.44,1.57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Switzerland Super League,2021/2022,2021-08-07 15:30:00,3,Grasshopper,Lausanne Sport,3,1,4,"['35', '49', '81']",['73'],2.1,3.45,3.25,1.87,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,Switzerland Super League,2021/2022,2021-08-08 09:15:00,3,Lugano,St. Gallen,2,1,3,"['16', '32']",['53'],2.75,3.25,2.5,2.05,1.87,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,Switzerland Super League,2021/2022,2021-08-08 11:30:00,3,Basel,Servette,5,1,6,"['19', '45', '50', '60', '63']",['74'],1.92,3.45,3.75,1.55,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
