Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Thailand Thai League T1,2021/2022,2021-09-03 08:00:00,1,Nong Bua Pitchaya,Nakhon Ratchasima,2,0,2,"['39', '43']",[],2.2,3.5,2.88,2.2,1.55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,Thailand Thai League T1,2021/2022,2021-09-04 08:00:00,1,Chiangmai United,Bangkok United,1,2,3,['19'],"['49', '78']",3.0,3.1,2.25,2.0,1.87,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,Thailand Thai League T1,2021/2022,2021-09-04 08:00:00,1,Prachuap,Muang Thong United,2,2,4,"['4', '88']","['68', '79']",3.04,3.23,1.96,1.68,1.59,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,Thailand Thai League T1,2021/2022,2021-09-04 09:00:00,1,Buriram United,Suphanburi,0,0,0,[],[],1.26,5.5,7.5,1.73,2.38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Thailand Thai League T1,2021/2022,2021-09-04 09:00:00,1,Khon Kaen United,Ratchaburi,0,2,2,[],"['27', '45+2']",2.8,3.0,2.2,1.87,1.76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Thailand Thai League T1,2021/2022,2021-09-05 07:30:00,1,Port FC,BEC Tero Sasana,3,3,6,"['23', '45', '55']","['6', '24', '33']",1.51,4.24,5.95,1.78,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,Thailand Thai League T1,2021/2022,2021-09-05 08:00:00,1,Chiangrai United,Samut Prakan City,2,2,4,"['59', '82']","['74', '79']",1.91,3.55,3.35,1.73,1.73,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,Thailand Thai League T1,2021/2022,2021-09-05 08:00:00,1,Chonburi,Bangkok Glass,1,1,2,['68'],['17'],4.5,3.84,1.72,1.82,1.77,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,Thailand Thai League T1,2021/2022,2021-09-10 08:00:00,2,Bangkok Glass,Ratchaburi,2,0,2,"['48', '54']",[],1.45,3.9,5.5,1.74,1.78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,Thailand Thai League T1,2021/2022,2021-09-11 08:00:00,2,Chiangrai United,Nakhon Ratchasima,3,2,5,"['45+2', '71', '90+9']","['12', '45+3']",1.45,4.13,5.47,1.67,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,Thailand Thai League T1,2021/2022,2021-09-11 08:00:00,2,Suphanburi,Chiangmai United,2,2,4,"['16', '67']","['32', '90+7']",2.07,3.68,3.2,2.2,1.57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,Thailand Thai League T1,2021/2022,2021-09-11 08:00:00,2,Khon Kaen United,Prachuap,2,1,3,"['38', '83']",['68'],2.61,3.47,2.25,1.6,1.56,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,Thailand Thai League T1,2021/2022,2021-09-11 09:00:00,2,Buriram United,BEC Tero Sasana,3,1,4,"['45+3', '65', '81']",['44'],1.22,5.5,9.5,1.51,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,Thailand Thai League T1,2021/2022,2021-09-12 07:30:00,2,Muang Thong United,Chonburi,3,3,6,"['72', '76', '83']","['23', '57', '69']",1.66,3.4,4.1,1.81,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,Thailand Thai League T1,2021/2022,2021-09-12 08:00:00,2,Bangkok United,Port FC,1,1,2,['41'],['37'],2.0,3.4,3.2,1.58,1.51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,Thailand Thai League T1,2021/2022,2021-09-12 08:00:00,2,Nong Bua Pitchaya,Samut Prakan City,0,1,1,[],['35'],2.48,3.15,2.48,1.68,1.66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Thailand Thai League T1,2021/2022,2021-09-17 08:00:00,3,Samut Prakan City,Bangkok United,3,1,4,"['47', '56', '77']",['80'],2.7,3.4,2.15,1.6,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,Thailand Thai League T1,2021/2022,2021-09-18 07:30:00,3,Port FC,Khon Kaen United,2,0,2,"['15', '19']",[],1.4,4.2,6.5,1.57,1.77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,Thailand Thai League T1,2021/2022,2021-09-18 08:00:00,3,Chonburi,Nong Bua Pitchaya,3,1,4,"['21', '45+8', '85']",['12'],1.8,3.25,3.75,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,Thailand Thai League T1,2021/2022,2021-09-18 08:00:00,3,Chiangrai United,Ratchaburi,0,0,0,[],[],2.0,3.3,3.2,1.92,1.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Thailand Thai League T1,2021/2022,2021-09-18 08:30:00,3,Buriram United,Chiangmai United,4,0,4,"['11', '55', '84', '90+3']",[],1.24,5.75,8.0,1.48,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,Thailand Thai League T1,2021/2022,2021-09-19 08:00:00,3,Nakhon Ratchasima,BEC Tero Sasana,1,0,1,['22'],[],2.1,3.9,2.65,1.67,1.59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Thailand Thai League T1,2021/2022,2021-09-19 08:00:00,3,Suphanburi,Prachuap,2,2,4,"['70', '74']","['18', '64']",2.29,3.4,3.0,1.97,1.75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,Thailand Thai League T1,2021/2022,2021-09-24 08:00:00,4,Muang Thong United,Ratchaburi,2,1,3,"['19', '80']",['41'],2.1,3.6,2.8,1.72,1.62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,Thailand Thai League T1,2021/2022,2021-09-25 07:30:00,4,Bangkok United,Buriram United,2,0,2,"['54', '71']",[],2.2,3.3,2.76,1.65,1.57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,Thailand Thai League T1,2021/2022,2021-09-25 08:00:00,4,Chiangrai United,Prachuap,1,2,3,['52'],"['78', '90+1']",1.35,4.5,6.37,1.57,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,Thailand Thai League T1,2021/2022,2021-09-25 08:00:00,4,Khon Kaen United,Chonburi,0,7,7,[],"['11', '24', '45+2', '50', '52', '54', '82']",2.93,3.3,2.1,1.81,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,Thailand Thai League T1,2021/2022,2021-09-26 08:00:00,4,BEC Tero Sasana,Samut Prakan City,1,1,2,['40'],['51'],2.7,3.1,2.45,1.72,1.57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,Thailand Thai League T1,2021/2022,2021-09-26 08:00:00,4,Suphanburi,Port FC,2,1,3,"['18', '50']",['4'],4.0,3.82,1.79,1.67,1.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,Thailand Thai League T1,2021/2022,2021-09-26 08:00:00,4,Chiangmai United,Nakhon Ratchasima,1,1,2,['25'],['61'],2.33,3.28,2.98,1.82,1.58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,Thailand Thai League T1,2021/2022,2021-10-01 08:00:00,5,Chonburi,Chiangrai United,2,3,5,"['42', '45+2']","['1', '64', '87']",2.09,3.37,3.2,1.78,1.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,Thailand Thai League T1,2021/2022,2021-10-02 07:00:00,5,Port FC,Muang Thong United,1,0,1,['30'],[],1.65,3.8,4.5,1.55,1.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Thailand Thai League T1,2021/2022,2021-10-02 08:00:00,5,Prachuap,Buriram United,0,2,2,[],"['21', '83']",5.5,4.1,1.5,1.67,1.91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Thailand Thai League T1,2021/2022,2021-10-02 08:00:00,5,Samut Prakan City,Chiangmai United,1,3,4,['82'],"['47', '78', '88']",1.67,3.8,4.33,1.55,1.73,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,Thailand Thai League T1,2021/2022,2021-10-02 09:00:00,5,Nong Bua Pitchaya,BEC Tero Sasana,1,0,1,['24'],[],2.05,3.3,3.2,1.78,1.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Thailand Thai League T1,2021/2022,2021-10-03 08:00:00,5,Nakhon Ratchasima,Suphanburi,2,1,3,"['63', '65']",['7'],2.08,3.05,3.2,1.88,1.72,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,Thailand Thai League T1,2021/2022,2021-10-03 08:00:00,5,Bangkok Glass,Khon Kaen United,2,1,3,"['4', '31']",['65'],1.37,4.27,6.5,1.67,1.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,Thailand Thai League T1,2021/2022,2021-10-05 08:00:00,6,BEC Tero Sasana,Chonburi,2,0,2,"['10', '25']",[],3.5,3.3,1.91,1.73,1.71,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,Thailand Thai League T1,2021/2022,2021-10-05 09:00:00,6,Muang Thong United,Nong Bua Pitchaya,1,1,2,['14'],['4'],1.57,3.6,4.75,1.67,1.74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,Thailand Thai League T1,2021/2022,2021-10-06 08:00:00,6,Bangkok United,Prachuap,2,1,3,"['10', '87']",['66'],1.4,4.4,6.25,1.55,1.67,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,Thailand Thai League T1,2021/2022,2021-10-06 08:00:00,6,Bangkok Glass,Chiangrai United,0,2,2,[],"['28', '45+2']",1.7,3.65,3.88,1.63,1.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Thailand Thai League T1,2021/2022,2021-10-06 09:00:00,6,Buriram United,Samut Prakan City,2,1,3,"['34', '79']",['43'],1.49,4.1,5.0,1.53,1.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,Thailand Thai League T1,2021/2022,2021-10-06 09:00:00,6,Khon Kaen United,Nakhon Ratchasima,1,1,2,['42'],['86'],2.9,3.5,2.05,1.88,1.65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,Thailand Thai League T1,2021/2022,2021-10-07 08:00:00,6,Suphanburi,Ratchaburi,1,1,2,['17'],['54'],2.3,3.4,2.63,1.8,1.61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45,Thailand Thai League T1,2021/2022,2021-10-07 09:00:00,6,Chiangmai United,Port FC,0,2,2,[],"['66', '72']",3.7,3.6,1.83,1.8,1.65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Thailand Thai League T1,2021/2022,2021-10-09 08:00:00,7,Nong Bua Pitchaya,Chiangrai United,1,2,3,['49'],"['1', '63']",3.2,3.5,2.0,1.79,1.73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,Thailand Thai League T1,2021/2022,2021-10-09 08:00:00,7,Bangkok Glass,BEC Tero Sasana,0,3,3,[],"['14', '51', '88']",1.25,5.5,7.5,1.44,1.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Thailand Thai League T1,2021/2022,2021-10-09 08:00:00,7,Nakhon Ratchasima,Bangkok United,0,2,2,[],"['40', '90+6']",3.68,3.3,1.88,1.72,1.63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Thailand Thai League T1,2021/2022,2021-10-09 09:00:00,7,Muang Thong United,Khon Kaen United,3,1,4,"['55', '63', '70']",['13'],1.48,4.04,5.41,1.52,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,Thailand Thai League T1,2021/2022,2021-10-10 08:00:00,7,Prachuap,Samut Prakan City,0,0,0,[],[],2.75,3.25,2.3,1.6,1.61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Thailand Thai League T1,2021/2022,2021-10-10 08:00:00,7,Chonburi,Suphanburi,1,0,1,['83'],[],1.75,3.5,4.0,1.75,1.65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Thailand Thai League T1,2021/2022,2021-10-10 08:00:00,7,Ratchaburi,Chiangmai United,2,0,2,"['20', '75']",[],1.7,3.5,4.4,1.7,1.62,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53,Thailand Thai League T1,2021/2022,2021-10-10 08:30:00,7,Port FC,Buriram United,0,2,2,[],"['50', '56']",2.6,3.25,2.28,1.81,1.64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Thailand Thai League T1,2021/2022,2021-10-13 08:00:00,3,Bangkok Glass,Muang Thong United,2,1,3,"['27', '43']",['84'],1.92,3.55,3.75,1.66,1.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55,Thailand Thai League T1,2021/2022,2021-10-16 07:30:00,8,Samut Prakan City,Port FC,2,2,4,"['18', '81']","['60', '75']",2.96,3.4,2.05,1.6,1.66,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
56,Thailand Thai League T1,2021/2022,2021-10-16 08:00:00,8,Suphanburi,Bangkok Glass,0,2,2,[],"['47', '62']",3.01,3.0,2.2,2.05,1.86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Thailand Thai League T1,2021/2022,2021-10-16 08:00:00,8,Khon Kaen United,Nong Bua Pitchaya,1,0,1,['49'],[],2.1,3.3,2.93,1.6,1.57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Thailand Thai League T1,2021/2022,2021-10-16 09:00:00,8,Chiangmai United,Prachuap,0,1,1,[],['77'],1.95,3.3,3.29,1.72,1.68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Thailand Thai League T1,2021/2022,2021-10-17 08:00:00,8,Bangkok United,Chonburi,1,0,1,['65'],[],1.67,4.14,4.44,1.65,1.57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Thailand Thai League T1,2021/2022,2021-10-17 08:00:00,8,BEC Tero Sasana,Ratchaburi,2,2,4,"['71', '90+8']","['28', '54']",2.82,3.58,2.32,1.72,1.57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
61,Thailand Thai League T1,2021/2022,2021-10-17 08:30:00,8,Chiangrai United,Muang Thong United,0,1,1,[],['90+3'],1.79,3.64,4.3,1.73,1.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Thailand Thai League T1,2021/2022,2021-10-17 09:00:00,8,Buriram United,Nakhon Ratchasima,2,0,2,"['61', '72']",[],1.39,4.74,7.3,1.73,1.89,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
63,Thailand Thai League T1,2021/2022,2021-10-20 08:00:00,5,Ratchaburi,Bangkok United,1,2,3,['90+5'],"['55', '90+1']",2.96,3.64,2.19,1.65,1.62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
64,Thailand Thai League T1,2021/2022,2021-10-23 07:30:00,9,Nakhon Ratchasima,Samut Prakan City,1,0,1,['45+2'],[],2.55,3.6,2.55,1.8,1.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Thailand Thai League T1,2021/2022,2021-10-23 08:00:00,9,Chonburi,Chiangmai United,1,1,2,['38'],['6'],1.53,4.2,5.6,1.58,1.81,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
66,Thailand Thai League T1,2021/2022,2021-10-23 08:00:00,9,Muang Thong United,BEC Tero Sasana,2,1,3,"['40', '78']",['3'],1.8,3.8,4.0,1.52,1.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
67,Thailand Thai League T1,2021/2022,2021-10-23 09:00:00,9,Chiangrai United,Khon Kaen United,1,0,1,['19'],[],1.32,5.0,9.0,1.67,1.84,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
