Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,2833289,Turkey 1. Lig,2022/2023,2022-08-12 15:00:00,1,Altay,Samsunspor,0,2,2,[],"['22', '88']",1.91,3.34,3.38,1.81,1.79,1.75,1.95
2,2833290,Turkey 1. Lig,2022/2023,2022-08-13 11:00:00,1,Manisa BBSK,Boluspor,0,1,1,[],['90+1'],2.11,3.35,2.88,2.02,1.8,1.78,2.0
3,2833291,Turkey 1. Lig,2022/2023,2022-08-13 13:15:00,1,Rizespor,Keçiörengücü,1,1,2,['49'],['71'],1.69,3.55,4.1,1.73,1.93,1.75,1.95
4,2833285,Turkey 1. Lig,2022/2023,2022-08-13 15:45:00,1,Gençlerbirliği,Altınordu,3,3,6,"['12', '28', '43']","['7', '17', '45']",1.93,3.45,3.2,1.82,2.0,1.75,2.05
5,2833288,Turkey 1. Lig,2022/2023,2022-08-13 15:45:00,1,Eyüpspor,Denizlispor,1,0,1,['74'],[],1.44,3.8,6.0,1.59,2.14,1.86,1.91
6,2833287,Turkey 1. Lig,2022/2023,2022-08-14 11:00:00,1,BB Bodrumspor,Yeni Malatyaspor,3,1,4,"['20', '25', '34']",['75'],2.65,3.25,2.23,1.82,2.0,1.66,2.1
7,2833292,Turkey 1. Lig,2022/2023,2022-08-14 14:00:00,1,Sakaryaspor,Göztepe,0,1,1,[],['12'],2.7,3.3,2.2,1.75,1.95,1.66,2.1
8,2833286,Turkey 1. Lig,2022/2023,2022-08-15 13:00:00,1,Adanaspor,Tuzlaspor,1,1,2,['30'],['45+1'],2.2,3.1,2.9,1.95,1.75,1.85,1.91
9,2833293,Turkey 1. Lig,2022/2023,2022-08-15 15:00:00,1,BB Erzurumspor,Pendikspor,0,0,0,[],[],2.05,3.25,3.1,1.75,1.95,1.8,1.96
10,2833295,Turkey 1. Lig,2022/2023,2022-08-19 15:00:00,2,Boluspor,Gençlerbirliği,1,2,3,['90+2'],"['10', '60']",1.9,3.25,3.95,1.91,1.85,1.73,2.06
11,2833299,Turkey 1. Lig,2022/2023,2022-08-20 11:00:00,2,Tuzlaspor,Bandırmaspor,0,2,2,[],"['42', '83']",3.55,3.25,1.9,1.83,1.89,1.72,2.03
12,2833302,Turkey 1. Lig,2022/2023,2022-08-20 14:00:00,2,Samsunspor,Eyüpspor,1,1,2,['32'],['20'],2.43,3.2,2.55,1.71,2.04,1.58,2.32
13,2833296,Turkey 1. Lig,2022/2023,2022-08-20 15:45:00,2,Altınordu,Sakaryaspor,0,2,2,[],"['36', '38']",2.25,2.95,3.05,1.95,1.77,1.7,2.05
14,2833301,Turkey 1. Lig,2022/2023,2022-08-21 10:30:00,2,Keçiörengücü,BB Bodrumspor,1,3,4,['82'],"['3', '29', '90+1']",2.18,3.11,2.79,1.85,1.76,1.7,2.1
