Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1303125,Turkey Süper Lig,2021/2022,2021-08-13 14:30:00,1,Beşiktaş,Rizespor,3,0,3,"['9', '52', '90+3']",[],1.61,4.1,4.95,1.61,2.3,1.71,2.1
2,1303124,Turkey Süper Lig,2021/2022,2021-08-14 13:15:00,1,Fatih Karagümrük,Gazişehir Gaziantep,3,2,5,"['10', '19', '90']","['17', '90+4']",2.0,3.4,3.75,1.83,1.95,1.74,2.05
3,1303132,Turkey Süper Lig,2021/2022,2021-08-14 15:45:00,1,Hatayspor,Kasımpaşa,1,1,2,['72'],['18'],2.15,3.6,3.05,1.65,2.2,1.57,2.35
4,1303131,Turkey Süper Lig,2021/2022,2021-08-14 15:45:00,1,Altay,Kayserispor,3,0,3,"['8', '45+1', '86']",[],1.87,3.6,3.95,1.95,1.8,1.91,1.87
5,1303130,Turkey Süper Lig,2021/2022,2021-08-15 13:15:00,1,İstanbul Başakşehir,Alanyaspor,0,1,1,[],['12'],2.1,3.15,3.65,2.1,1.71,1.91,1.87
6,1303127,Turkey Süper Lig,2021/2022,2021-08-15 15:45:00,1,Antalyaspor,Göztepe,1,1,2,['32'],['90+2'],2.39,3.42,2.94,1.96,1.83,1.83,1.95
7,1303129,Turkey Süper Lig,2021/2022,2021-08-15 15:45:00,1,Adana Demirspor,Fenerbahçe,0,1,1,[],['46'],4.7,4.08,1.69,1.64,2.12,1.61,2.3
8,1303126,Turkey Süper Lig,2021/2022,2021-08-16 13:15:00,1,Yeni Malatyaspor,Trabzonspor,1,5,6,['32'],"['3', '11', '29', '42', '66']",3.8,3.55,1.91,1.83,1.95,1.8,2.0
9,1303128,Turkey Süper Lig,2021/2022,2021-08-16 13:15:00,1,Sivasspor,Konyaspor,0,1,1,[],['88'],2.15,3.05,3.6,2.45,1.54,2.15,1.67
10,1303123,Turkey Süper Lig,2021/2022,2021-08-16 15:45:00,1,Giresunspor,Galatasaray,0,2,2,[],"['31', '45+2']",4.65,4.0,1.52,1.67,2.2,1.8,1.95
11,1303138,Turkey Süper Lig,2021/2022,2021-08-20 14:30:00,2,Kayserispor,Adana Demirspor,1,1,2,['17'],['62'],3.15,3.25,2.25,1.87,1.91,1.71,2.1
12,1303134,Turkey Süper Lig,2021/2022,2021-08-21 13:15:00,2,Kasımpaşa,Giresunspor,2,0,2,"['14', '90+2']",[],2.15,3.25,3.35,1.87,1.91,1.71,2.1
13,1303142,Turkey Süper Lig,2021/2022,2021-08-21 13:15:00,2,Rizespor,Fatih Karagümrük,0,0,0,[],[],2.75,3.15,2.55,1.83,1.95,1.67,2.15
14,1303133,Turkey Süper Lig,2021/2022,2021-08-21 15:45:00,2,Gazişehir Gaziantep,Beşiktaş,0,0,0,[],[],4.45,3.9,1.71,1.69,2.15,1.71,2.1
15,1303137,Turkey Süper Lig,2021/2022,2021-08-21 15:45:00,2,Alanyaspor,Altay,1,4,5,['67'],"['27', '32', '49', '85']",2.3,3.05,3.25,1.91,1.87,1.74,2.05
16,1303139,Turkey Süper Lig,2021/2022,2021-08-22 13:15:00,2,Konyaspor,İstanbul Başakşehir,2,1,3,"['51', '87']",['45+1'],2.5,2.95,3.05,2.2,1.65,1.95,1.83
17,1303140,Turkey Süper Lig,2021/2022,2021-08-22 15:45:00,2,Fenerbahçe,Antalyaspor,2,0,2,"['89', '90+2']",[],1.54,4.15,5.75,1.71,2.1,1.77,2.0
18,1303141,Turkey Süper Lig,2021/2022,2021-08-22 15:45:00,2,Göztepe,Yeni Malatyaspor,0,1,1,[],['56'],1.83,3.6,4.15,1.87,1.91,1.8,2.0
19,1303136,Turkey Süper Lig,2021/2022,2021-08-23 13:15:00,2,Trabzonspor,Sivasspor,2,1,3,"['15', '47']",['70'],1.69,3.8,4.6,1.91,1.87,1.91,1.87
20,1303135,Turkey Süper Lig,2021/2022,2021-08-23 15:45:00,2,Galatasaray,Hatayspor,2,1,3,"['30', '88']",['3'],1.4,4.5,6.5,1.6,2.2,1.83,1.95
21,1303147,Turkey Süper Lig,2021/2022,2021-08-27 14:30:00,3,Antalyaspor,Rizespor,3,2,5,"['18', '54', '90+10']","['61', '90+3']",1.91,3.5,3.9,2.0,1.77,1.95,1.83
22,1303149,Turkey Süper Lig,2021/2022,2021-08-27 15:45:00,3,Adana Demirspor,Konyaspor,1,1,2,['59'],['83'],2.1,3.35,3.35,1.95,1.8,1.83,1.95
23,1303150,Turkey Süper Lig,2021/2022,2021-08-28 13:15:00,3,İstanbul Başakşehir,Kayserispor,0,1,1,[],['4'],1.41,4.3,7.0,1.91,1.87,2.1,1.71
24,1303146,Turkey Süper Lig,2021/2022,2021-08-28 13:15:00,3,Yeni Malatyaspor,Gazişehir Gaziantep,2,0,2,"['45', '68']",[],2.5,2.95,3.0,2.25,1.62,1.95,1.8
25,1303152,Turkey Süper Lig,2021/2022,2021-08-28 15:45:00,3,Hatayspor,Alanyaspor,5,0,5,"['4', '18', '42', '60', '90+2']",[],2.25,3.4,3.05,1.8,1.95,1.71,2.1
26,1303145,Turkey Süper Lig,2021/2022,2021-08-28 15:45:00,3,Beşiktaş,Fatih Karagümrük,1,0,1,['30'],[],1.54,4.25,5.5,1.62,2.25,1.74,2.05
