Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Turkey Süper Lig,2022/2023,2022-08-05 15:00:00,1,İstanbulspor,Trabzonspor,0,2,2,[],"['16', '86']",4.47,3.87,1.71,1.79,1.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Turkey Süper Lig,2022/2023,2022-08-06 13:15:00,1,Sivasspor,Gazişehir Gaziantep,1,1,2,['64'],['22'],2.02,3.5,3.58,1.9,1.73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Turkey Süper Lig,2022/2023,2022-08-06 15:45:00,1,Beşiktaş,Kayserispor,1,0,1,['90+6'],[],1.52,4.3,5.9,1.72,1.83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Turkey Süper Lig,2022/2023,2022-08-07 13:15:00,1,Fatih Karagümrük,Alanyaspor,2,4,6,"['55', '72']","['19', '28', '70', '90+3']",2.63,3.5,2.6,1.75,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,Turkey Süper Lig,2022/2023,2022-08-07 13:15:00,1,Giresunspor,Adana Demirspor,2,3,5,"['56', '90+1']","['23', '28', '82']",3.2,3.5,2.2,1.8,1.62,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,Turkey Süper Lig,2022/2023,2022-08-07 15:45:00,1,Antalyaspor,Galatasaray,0,1,1,[],['90'],2.38,3.5,2.9,1.75,1.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Turkey Süper Lig,2022/2023,2022-08-08 13:15:00,1,İstanbul Başakşehir,Kasımpaşa,4,0,4,"['22', '38', '74', '77']",[],1.79,3.89,4.25,1.85,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,Turkey Süper Lig,2022/2023,2022-08-08 15:45:00,1,Ankaragücü,Konyaspor,0,0,0,[],[],2.8,3.45,2.33,1.85,1.73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Turkey Süper Lig,2022/2023,2022-08-08 15:45:00,1,Fenerbahçe,Ümraniyespor,3,3,6,"['19', '45+2', '90+2']","['29', '67', '73']",1.33,5.46,8.65,1.68,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,Turkey Süper Lig,2022/2023,2022-08-12 15:00:00,2,Trabzonspor,Hatayspor,1,0,1,['71'],[],1.61,3.56,4.39,1.73,1.82,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Turkey Süper Lig,2022/2023,2022-08-13 13:15:00,2,Kayserispor,İstanbulspor,1,0,1,['4'],[],2.01,3.45,3.45,1.76,1.66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Turkey Süper Lig,2022/2023,2022-08-13 15:45:00,2,Adana Demirspor,Sivasspor,3,0,3,"['41', '51', '70']",[],1.92,3.55,3.65,1.77,1.66,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,Turkey Süper Lig,2022/2023,2022-08-13 15:45:00,2,Galatasaray,Giresunspor,0,1,1,[],['77'],1.6,3.85,5.0,1.68,1.73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Turkey Süper Lig,2022/2023,2022-08-14 13:15:00,2,Gazişehir Gaziantep,Ankaragücü,1,0,1,['47'],[],2.01,3.35,3.2,1.8,1.73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Turkey Süper Lig,2022/2023,2022-08-14 13:15:00,2,Ümraniyespor,Antalyaspor,0,1,1,[],['59'],3.05,3.35,2.07,1.7,1.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Turkey Süper Lig,2022/2023,2022-08-14 15:45:00,2,Alanyaspor,Beşiktaş,3,3,6,"['45+3', '81', '90+2']","['3', '20', '31']",2.8,3.4,2.19,1.62,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,Turkey Süper Lig,2022/2023,2022-08-15 13:15:00,2,Konyaspor,İstanbul Başakşehir,0,0,0,[],[],2.6,3.1,2.4,1.85,1.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Turkey Süper Lig,2022/2023,2022-08-15 15:45:00,2,Kasımpaşa,Fenerbahçe,0,6,6,[],"['8', '34', '45+3', '58', '86', '90+2']",2.9,3.4,2.1,1.63,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,Turkey Süper Lig,2022/2023,2022-08-19 15:00:00,3,Ümraniyespor,Galatasaray,0,1,1,[],['86'],3.45,3.45,2.01,2.05,1.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Turkey Süper Lig,2022/2023,2022-08-20 13:15:00,3,Hatayspor,Gazişehir Gaziantep,1,2,3,['31'],"['7', '49']",2.14,3.6,3.05,1.72,1.69,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,Turkey Süper Lig,2022/2023,2022-08-20 13:15:00,3,Giresunspor,Kasımpaşa,1,0,1,['90'],[],2.23,3.45,2.95,1.77,1.63,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
