Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1541006,USA MLS,2022,2022-02-26 15:00:00,0,Philadelphia Union,Minnesota United,1,1,2,['35'],['23'],1.62,3.8,5.0,1.87,1.91,1.91,1.91
2,1541007,USA MLS,2022,2022-02-26 17:30:00,0,Columbus Crew,Vancouver Whitecaps,4,0,4,"['8', '25', '84', '87']",[],1.5,4.1,6.0,1.87,1.91,1.95,1.8
3,1541008,USA MLS,2022,2022-02-26 17:30:00,0,Los Angeles FC,Colorado Rapids,3,0,3,"['29', '35', '50']",[],1.7,4.0,4.33,1.57,2.35,1.62,2.2
4,1541009,USA MLS,2022,2022-02-26 19:30:00,0,FC Dallas,Toronto,1,1,2,['9'],['45'],1.83,3.7,4.0,1.7,2.1,1.67,2.1
5,1541010,USA MLS,2022,2022-02-26 20:00:00,0,DC United,Charlotte,3,0,3,"['37', '45+6', '65']",[],1.62,4.0,4.75,1.88,1.98,1.8,1.95
6,1541011,USA MLS,2022,2022-02-26 20:00:00,0,Austin,FC Cincinnati,5,0,5,"['2', '14', '43', '61', '90+3']",[],1.8,3.8,4.0,1.7,2.15,1.67,2.1
7,1541012,USA MLS,2022,2022-02-26 20:00:00,0,Inter Miami,Chicago Fire,0,0,0,[],[],1.83,3.5,4.1,1.87,1.91,1.75,2.0
8,1541013,USA MLS,2022,2022-02-26 20:00:00,0,SJ Earthquakes,New York RB,1,3,4,['69'],"['45+1', '72', '90+2']",2.63,3.3,2.6,1.95,1.83,1.8,1.95
9,1541014,USA MLS,2022,2022-02-26 21:30:00,0,Portland Timbers,New England Revolution,2,2,4,"['60', '78']","['41', '63']",2.1,3.5,3.1,1.67,2.2,1.57,2.25
10,1541015,USA MLS,2022,2022-02-27 15:00:00,0,Orlando City,Montreal Impact,2,0,2,"['49', '59']",[],1.94,3.7,3.8,1.88,2.02,1.75,2.0
11,1541016,USA MLS,2022,2022-02-27 17:00:00,0,Atlanta United FC,Sporting KC,3,1,4,"['20', '45+3', '89']",['85'],1.79,3.9,4.3,1.61,2.2,1.7,2.05
12,1541017,USA MLS,2022,2022-02-27 19:00:00,0,LA Galaxy,New York City,1,0,1,['90'],[],2.35,3.5,2.95,1.76,2.16,1.62,2.2
13,1541018,USA MLS,2022,2022-02-27 21:00:00,0,Houston Dynamo,Real Salt Lake,0,0,0,[],[],2.14,3.5,3.35,1.88,1.84,1.75,2.0
14,1541019,USA MLS,2022,2022-02-27 22:00:00,0,Seattle Sounders,Nashville SC,0,1,1,[],['80'],1.98,3.5,3.9,1.82,1.91,1.78,1.93
