Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,3543196,Ukraine Ukrainian Premier League,2022/2023,2022-08-23 07:00:00,1,Shakhtar Donetsk,Metalist 1925 Kharkiv,0,0,0,[],[],1.29,5.25,8.5,1.61,2.18,1.97,1.78
2,3543191,Ukraine Ukrainian Premier League,2022/2023,2022-08-23 09:00:00,1,Chornomorets,Veres Rivne,0,1,1,[],['22'],2.25,3.0,3.1,2.08,1.7,0.0,0.0
3,3543192,Ukraine Ukrainian Premier League,2022/2023,2022-08-23 09:00:00,1,Zorya,Vorskla,3,1,4,"['7', '30', '53']",['73'],2.5,3.2,2.7,2.0,1.76,1.73,2.03
4,3543193,Ukraine Ukrainian Premier League,2022/2023,2022-08-23 11:00:00,1,Kolos Kovalivka,Hirnyk,1,0,1,['36'],[],2.4,3.1,2.6,2.0,1.73,1.78,1.97
5,3543190,Ukraine Ukrainian Premier League,2022/2023,2022-08-24 09:00:00,1,Rukh Vynnyky,Metal Kharkiv,1,2,3,['41'],"['37', '66']",2.21,3.05,2.93,2.03,1.7,1.84,1.9
6,3543195,Ukraine Ukrainian Premier League,2022/2023,2022-08-25 07:00:00,7,Inhulets,Oleksandria,1,2,3,['61'],"['22', '49']",3.3,3.25,2.05,2.3,1.55,2.02,1.74
7,3543200,Ukraine Ukrainian Premier League,2022/2023,2022-08-27 07:00:00,2,Vorskla,Veres Rivne,1,2,3,['21'],"['80', '90+6']",1.7,3.3,4.5,1.9,1.9,0.0,0.0
8,3543202,Ukraine Ukrainian Premier League,2022/2023,2022-08-27 07:00:00,2,Lviv,Zorya,2,3,5,"['12', '49']","['8', '58', '90']",5.3,3.9,1.65,1.88,1.93,1.8,1.9
9,3543197,Ukraine Ukrainian Premier League,2022/2023,2022-08-27 09:00:00,2,Metalist 1925 Kharkiv,Chornomorets,0,0,0,[],[],2.1,3.0,3.3,2.18,1.67,1.85,1.85
10,3543198,Ukraine Ukrainian Premier League,2022/2023,2022-08-28 07:00:00,2,Kolos Kovalivka,Rukh Vynnyky,2,0,2,"['5', '83']",[],2.15,3.35,3.05,1.89,1.82,1.77,2.0
11,3543204,Ukraine Ukrainian Premier League,2022/2023,2022-08-28 09:00:00,2,Shakhtar Donetsk,Hirnyk,1,0,1,['76'],[],1.36,4.2,7.0,1.61,2.15,1.92,1.84
12,3543203,Ukraine Ukrainian Premier League,2022/2023,2022-08-28 11:00:00,2,Dynamo Kyiv,Dnipro-1,0,3,3,[],"['43', '55', '90+1']",1.36,4.6,6.75,1.65,2.1,1.61,2.25
13,3543201,Ukraine Ukrainian Premier League,2022/2023,2022-08-29 07:00:00,2,Metal Kharkiv,Inhulets,1,1,2,['7'],['60'],2.25,3.1,2.95,2.0,1.72,1.98,1.78
14,3543199,Ukraine Ukrainian Premier League,2022/2023,2022-08-29 09:00:00,2,Oleksandria,Minai,2,1,3,"['23', '90+2']",['90+1'],1.73,3.6,4.4,1.94,1.92,2.02,1.76
15,3543212,Ukraine Ukrainian Premier League,2022/2023,2022-09-02 11:00:00,3,Rukh Vynnyky,Shakhtar Donetsk,0,1,1,[],['78'],6.25,4.5,1.4,1.56,2.35,1.68,2.05
16,3543210,Ukraine Ukrainian Premier League,2022/2023,2022-09-03 07:00:00,3,Dnipro-1,Veres Rivne,2,0,2,"['45+2', '47']",[],1.46,4.2,5.6,1.74,1.93,0.0,0.0
17,3543211,Ukraine Ukrainian Premier League,2022/2023,2022-09-03 07:00:00,3,Zorya,Dynamo Kyiv,3,2,5,"['7', '35', '70']","['49', '83']",5.4,4.35,1.46,1.65,2.11,1.89,1.87
18,3543208,Ukraine Ukrainian Premier League,2022/2023,2022-09-03 09:00:00,3,Metalist 1925 Kharkiv,Vorskla,3,2,5,"['54', '80', '90+2']","['44', '83']",4.0,3.6,1.7,1.95,1.91,1.89,1.85
19,3543206,Ukraine Ukrainian Premier League,2022/2023,2022-09-04 09:00:00,3,Chornomorets,Inhulets,1,1,2,['66'],['32'],2.05,3.48,3.18,2.05,1.7,1.08,7.1
20,3543205,Ukraine Ukrainian Premier League,2022/2023,2022-09-04 11:00:00,3,Hirnyk,Lviv,0,0,0,[],[],1.67,3.4,4.6,1.87,1.83,1.88,1.88
21,3543207,Ukraine Ukrainian Premier League,2022/2023,2022-09-05 07:00:00,3,Minai,Kolos Kovalivka,1,1,2,['4'],['31'],3.84,3.69,1.79,1.74,1.93,2.01,1.76
22,3543209,Ukraine Ukrainian Premier League,2022/2023,2022-09-05 09:00:00,3,Oleksandria,Metal Kharkiv,1,3,4,['11'],"['21', '64', '72']",1.84,3.48,3.72,1.65,2.11,1.88,1.88
23,3543218,Ukraine Ukrainian Premier League,2022/2023,2022-09-09 11:00:00,4,Rukh Vynnyky,Zorya,3,1,4,"['41', '49', '62']",['55'],3.14,3.25,1.84,1.68,1.84,1.82,1.92
24,3543213,Ukraine Ukrainian Premier League,2022/2023,2022-09-10 09:00:00,4,Hirnyk,Veres Rivne,0,1,1,[],['28'],2.44,3.1,2.58,1.84,1.97,0.0,0.0
25,3543220,Ukraine Ukrainian Premier League,2022/2023,2022-09-10 11:00:00,4,Shakhtar Donetsk,Chornomorets,2,1,3,"['74', '90+6']",['9'],1.2,5.6,11.0,1.43,2.49,2.18,1.65
