Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Ukraine Ukrainian Premier League,2021/2022,2021-07-23 13:30:00,1,Lviv,Mariupol,1,1,2,['32'],['9'],2.76,3.02,2.2,1.94,1.69,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,Ukraine Ukrainian Premier League,2021/2022,2021-07-24 11:00:00,1,Veres Rivne,Kolos Kovalivka,0,0,0,[],[],3.25,3.25,2.05,1.83,1.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Ukraine Ukrainian Premier League,2021/2022,2021-07-24 13:30:00,1,Shakhtar Donetsk,Inhulets,2,1,3,"['12', '34']",['81'],1.1,7.75,14.0,1.47,2.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,Ukraine Ukrainian Premier League,2021/2022,2021-07-25 11:00:00,1,Metalist 1925 Kharkiv,Rukh Vynnyky,2,1,3,"['7', '35']",['50'],2.8,2.9,2.37,2.2,1.91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,Ukraine Ukrainian Premier League,2021/2022,2021-07-25 13:30:00,1,Desna,Chornomorets,3,0,3,"['51', '56', '80']",[],1.61,3.5,5.0,1.74,1.74,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,Ukraine Ukrainian Premier League,2021/2022,2021-07-25 13:30:00,1,Zorya,Oleksandria,0,1,1,[],['40'],1.61,3.5,4.9,1.87,1.91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Ukraine Ukrainian Premier League,2021/2022,2021-07-26 13:30:00,1,Vorskla,Dnipro-1,2,2,4,"['7', '67']","['59', '72']",2.95,2.85,2.4,2.2,1.95,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,Ukraine Ukrainian Premier League,2021/2022,2021-07-30 13:00:00,2,Lviv,Shakhtar Donetsk,0,3,3,[],"['73', '85', '90+5']",11.0,6.25,1.16,1.56,2.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Ukraine Ukrainian Premier League,2021/2022,2021-07-30 15:00:00,2,Kolos Kovalivka,Metalist 1925 Kharkiv,1,0,1,['72'],[],1.69,3.4,4.6,2.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Ukraine Ukrainian Premier League,2021/2022,2021-07-31 11:00:00,2,Minai,Oleksandria,1,0,1,['90'],[],4.2,3.35,1.74,1.87,1.83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Ukraine Ukrainian Premier League,2021/2022,2021-07-31 13:30:00,2,Chornomorets,Dnipro-1,0,3,3,[],"['40', '51', '61']",5.75,4.05,1.47,1.71,1.91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Ukraine Ukrainian Premier League,2021/2022,2021-08-01 11:00:00,2,Mariupol,Desna,1,2,3,['65'],"['71', '90+2']",3.75,3.25,1.91,1.85,1.77,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,Ukraine Ukrainian Premier League,2021/2022,2021-08-01 13:30:00,2,Dynamo Kyiv,Veres Rivne,4,0,4,"['4', '6', '42', '86']",[],1.11,7.25,14.0,1.65,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,Ukraine Ukrainian Premier League,2021/2022,2021-08-01 13:30:00,2,Vorskla,Rukh Vynnyky,2,0,2,"['42', '60']",[],2.15,3.1,3.25,2.2,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
