League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
Ukraine Ukrainian Premier League,2022/2023,2022-08-23 07:00:00,1,Shakhtar Donetsk,Metalist 1925 Kharkiv,0,0,0,[],[],1.29,5.25,8.5,1.61,1.97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-08-23 09:00:00,1,Chornomorets,Veres Rivne,0,1,1,[],['22'],2.25,3.0,3.1,2.08,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-08-23 09:00:00,1,Zorya,Vorskla,3,1,4,"['7', '30', '53']",['73'],2.5,3.2,2.7,2.0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-08-23 11:00:00,1,Kolos Kovalivka,Hirnyk,1,0,1,['36'],[],2.4,3.1,2.6,2.0,1.78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-08-24 09:00:00,1,Rukh Vynnyky,Metal Kharkiv,1,2,3,['41'],"['37', '66']",2.21,3.05,2.93,2.03,1.84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-08-25 07:00:00,7,Inhulets,Oleksandria,1,2,3,['61'],"['22', '49']",3.3,3.25,2.05,2.3,2.02,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-08-27 07:00:00,2,Vorskla,Veres Rivne,1,2,3,['21'],"['80', '90+6']",1.7,3.3,4.5,1.9,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-08-27 07:00:00,2,Lviv,Zorya,2,3,5,"['12', '49']","['8', '58', '90']",5.3,3.9,1.65,1.88,1.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-08-27 09:00:00,2,Metalist 1925 Kharkiv,Chornomorets,0,0,0,[],[],2.1,3.0,3.3,2.18,1.85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-08-28 07:00:00,2,Kolos Kovalivka,Rukh Vynnyky,2,0,2,"['5', '83']",[],2.15,3.35,3.05,1.89,1.77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-08-28 09:00:00,2,Shakhtar Donetsk,Hirnyk,1,0,1,['76'],[],1.36,4.2,7.0,1.61,1.92,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-08-28 11:00:00,2,Dynamo Kyiv,Dnipro-1,0,3,3,[],"['43', '55', '90+1']",1.36,4.6,6.75,1.65,1.61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-08-29 07:00:00,2,Metal Kharkiv,Inhulets,1,1,2,['7'],['60'],2.25,3.1,2.95,2.0,1.98,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-08-29 09:00:00,2,Oleksandria,Minai,2,1,3,"['23', '90+2']",['90+1'],1.73,3.6,4.4,1.94,2.02,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-09-02 11:00:00,3,Rukh Vynnyky,Shakhtar Donetsk,0,1,1,[],['78'],6.25,4.5,1.4,1.56,1.68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-09-03 07:00:00,3,Dnipro-1,Veres Rivne,2,0,2,"['45+2', '47']",[],1.46,4.2,5.6,1.74,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-09-03 07:00:00,3,Zorya,Dynamo Kyiv,3,2,5,"['7', '35', '70']","['49', '83']",5.4,4.35,1.46,1.65,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-09-03 09:00:00,3,Metalist 1925 Kharkiv,Vorskla,3,2,5,"['54', '80', '90+2']","['44', '83']",4.0,3.6,1.7,1.95,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-09-04 09:00:00,3,Chornomorets,Inhulets,1,1,2,['66'],['32'],2.05,3.48,3.18,2.05,1.08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-09-04 11:00:00,3,Hirnyk,Lviv,0,0,0,[],[],1.67,3.4,4.6,1.87,1.88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-09-05 07:00:00,3,Minai,Kolos Kovalivka,1,1,2,['4'],['31'],3.84,3.69,1.79,1.74,2.01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-09-05 09:00:00,3,Oleksandria,Metal Kharkiv,1,3,4,['11'],"['21', '64', '72']",1.84,3.48,3.72,1.65,1.88,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-09-09 11:00:00,4,Rukh Vynnyky,Zorya,3,1,4,"['41', '49', '62']",['55'],3.14,3.25,1.84,1.68,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-09-10 09:00:00,4,Hirnyk,Veres Rivne,0,1,1,[],['28'],2.44,3.1,2.58,1.84,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-09-10 11:00:00,4,Shakhtar Donetsk,Chornomorets,2,1,3,"['74', '90+6']",['9'],1.2,5.6,11.0,1.43,2.18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-09-11 07:00:00,4,Dnipro-1,Metalist 1925 Kharkiv,3,0,3,"['62', '66', '88']",[],1.43,4.58,5.86,1.65,1.85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-09-11 09:00:00,4,Kolos Kovalivka,Metal Kharkiv,1,0,1,['72'],[],2.21,3.35,3.0,1.92,1.64,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-09-11 11:00:00,4,Dynamo Kyiv,Lviv,1,0,1,['32'],[],1.22,5.49,8.98,1.55,2.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-09-12 07:00:00,4,Vorskla,Oleksandria,0,0,0,[],[],2.35,3.5,2.58,1.65,1.86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
