Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1253825,Uruguay Segunda División,2021,2021-06-01 17:15:00,1,Villa Teresa,Juventud,1,3,4,['69'],"['5', '38', '64']",2.4,2.55,1.5,2.88,1.4,2.2,1.6
2,1253824,Uruguay Segunda División,2021,2021-06-01 19:30:00,1,Albion,Cerro,1,2,3,['62'],"['4', '86']",2.35,2.88,1.53,2.35,1.57,2.2,1.6
3,1253826,Uruguay Segunda División,2021,2021-06-01 21:45:00,1,Racing,Uruguay Montevideo FC,1,0,1,['40'],[],1.18,3.4,4.33,2.5,1.5,2.45,1.48
4,1253828,Uruguay Segunda División,2021,2021-06-02 12:15:00,1,Central Español,Danubio,0,0,0,[],[],3.5,3.5,1.24,2.25,1.62,2.05,1.7
5,1253827,Uruguay Segunda División,2021,2021-06-03 12:15:00,1,Atenas,Rampla Juniors,1,1,2,['24'],['38'],2.1,3.0,1.65,2.4,1.53,2.0,1.77
6,1253829,Uruguay Segunda División,2021,2021-06-03 14:30:00,1,Defensor Sporting,Rocha,2,1,3,"['64', '75']",['86'],1.18,3.6,4.33,2.1,1.7,2.08,1.72
7,1253832,Uruguay Segunda División,2021,2021-06-09 17:15:00,2,Juventud,Albion,1,2,3,['26'],"['50', '89']",1.83,3.2,4.0,0.0,0.0,0.0,0.0
8,1253830,Uruguay Segunda División,2021,2021-06-09 19:30:00,2,Uruguay Montevideo FC,Villa Teresa,2,3,5,"['61', '90+1']","['35', '49', '61']",1.95,3.0,1.75,0.0,0.0,2.08,1.71
9,1253831,Uruguay Segunda División,2021,2021-06-10 15:15:00,2,Rampla Juniors,Racing,2,2,4,"['32', '50']","['10', '82']",3.05,3.2,1.32,0.0,0.0,1.9,1.83
10,1253833,Uruguay Segunda División,2021,2021-06-10 17:30:00,2,Rocha,Central Español,3,2,5,"['19', '28', '34']","['69', '78']",2.15,3.0,1.61,0.0,0.0,1.98,1.75
11,1253834,Uruguay Segunda División,2021,2021-06-10 19:45:00,2,Cerro,Defensor Sporting,0,0,0,[],[],2.32,3.2,1.52,0.0,0.0,1.78,1.95
12,1253835,Uruguay Segunda División,2021,2021-06-15 19:00:00,2,Danubio,Atenas,2,1,3,"['56', '72']",['41'],1.87,3.05,3.55,2.0,1.62,1.87,1.77
13,1253836,Uruguay Segunda División,2021,2021-06-15 21:15:00,3,Juventud,Uruguay Montevideo FC,1,0,1,['83'],[],1.25,3.4,3.6,2.1,1.7,2.08,1.72
14,1253841,Uruguay Segunda División,2021,2021-06-16 12:30:00,3,Villa Teresa,Rampla Juniors,0,1,1,[],['18'],1.84,3.0,1.84,2.0,1.8,1.78,1.98
15,1253838,Uruguay Segunda División,2021,2021-06-16 17:15:00,3,Albion,Defensor Sporting,2,2,4,"['54', '88']","['7', '78']",3.8,3.25,1.74,1.69,1.95,1.62,2.05
