Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Uruguay Primera División,2023,2023-02-04 09:45:00,1,Racing,Boston River,0,2,2,[],"['58', '69']",3.1,3.0,2.3,2.2,1.91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Uruguay Primera División,2023,2023-02-04 17:00:00,1,Peñarol,Cerro,2,0,2,"['18', '57']",[],1.32,4.9,9.05,1.97,2.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,Uruguay Primera División,2023,2023-02-04 19:30:00,1,Cerro Largo,River Plate,2,1,3,"['74', '90+8']",['90+5'],3.28,3.09,2.31,2.45,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,Uruguay Primera División,2023,2023-02-05 09:45:00,1,La Luz,Wanderers,1,3,4,['79'],"['1', '13', '89']",2.4,3.1,2.63,2.3,1.98,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,Uruguay Primera División,2023,2023-02-05 18:00:00,1,Torque,Danubio,1,1,2,['75'],['90+6'],2.88,2.75,2.6,2.3,1.98,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Uruguay Primera División,2023,2023-02-05 21:00:00,1,Nacional,Liverpool FC Montevideo,2,1,3,"['14', '31']",['89'],1.57,3.65,5.58,1.95,1.93,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,Uruguay Primera División,2023,2023-02-06 19:00:00,1,Plaza Colonia,Deportivo Maldonado,0,1,1,[],['18'],3.08,2.7,2.35,2.5,2.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Uruguay Primera División,2023,2023-02-06 21:30:00,1,Defensor Sporting,Fénix,1,3,4,['51'],"['17', '45+2', '83']",1.89,3.2,3.6,2.3,2.05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,Uruguay Primera División,2023,2023-02-10 20:00:00,2,Nacional,Cerro Largo,0,0,0,[],[],1.37,4.46,8.6,2.0,2.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Uruguay Primera División,2023,2023-02-11 09:45:00,2,Fénix,Torque,1,2,3,['46'],"['13', '90+8']",2.35,2.9,2.8,2.2,2.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,Uruguay Primera División,2023,2023-02-11 17:00:00,2,River Plate,Plaza Colonia,2,0,2,"['27', '88']",[],1.57,2.95,4.71,2.48,2.05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,Uruguay Primera División,2023,2023-02-11 19:30:00,2,Deportivo Maldonado,Racing,1,1,2,['45+2'],['71'],1.85,3.3,4.06,2.29,2.16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,Uruguay Primera División,2023,2023-02-12 09:45:00,2,Boston River,Cerro,0,3,3,[],"['10', '28', '48']",1.85,3.35,3.98,2.06,1.98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
