Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Uruguay Primera División,2022,2022-02-05 09:30:00,1,Torque,Cerro Largo,1,1,2,['90+8'],['43'],2.02,3.05,3.05,1.8,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,Uruguay Primera División,2022,2022-02-05 17:00:00,1,Fénix,Peñarol,1,0,1,['83'],[],4.9,3.78,1.67,1.89,1.83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Uruguay Primera División,2022,2022-02-05 19:30:00,1,Defensor Sporting,Liverpool FC Montevideo,0,3,3,[],"['20', '37', '57']",3.25,3.35,1.99,1.88,1.67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Uruguay Primera División,2022,2022-02-06 09:30:00,1,Albion,Rentistas,3,5,8,"['34', '55', '82']","['38', '41', '50', '90+2', '90+5']",2.5,3.25,2.7,2.23,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,Uruguay Primera División,2022,2022-02-06 17:00:00,1,Boston River,Plaza Colonia,0,0,0,[],[],2.75,3.15,2.28,2.23,1.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Uruguay Primera División,2022,2022-02-06 20:00:00,1,Nacional,Deportivo Maldonado,2,3,5,"['84', '90+2']","['67', '70', '90+6']",1.36,4.3,6.5,1.83,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,Uruguay Primera División,2022,2022-02-07 17:00:00,1,River Plate,Wanderers,1,1,2,['20'],['73'],2.41,3.4,2.77,1.84,1.73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,Uruguay Primera División,2022,2022-02-08 20:00:00,1,Cerrito,Danubio,0,1,1,[],['70'],2.48,3.15,2.51,2.2,1.91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Uruguay Primera División,2022,2022-02-11 20:15:00,2,Torque,Fénix,1,2,3,['43'],"['39', '60']",2.0,3.1,3.35,2.15,1.91,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,Uruguay Primera División,2022,2022-02-12 17:00:00,2,Plaza Colonia,River Plate,0,1,1,[],['67'],2.15,2.88,2.79,2.07,1.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
