Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Uruguay Segunda División,2022,2022-03-19 10:15:00,1,Rampla Juniors,Uruguay Montevideo FC,1,0,1,['85'],[],2.05,2.9,1.7,2.25,1.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Uruguay Segunda División,2022,2022-03-19 15:00:00,1,Juventud,Atenas,0,0,0,[],[],2.0,2.9,3.75,2.35,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Uruguay Segunda División,2022,2022-03-19 16:00:00,1,Miramar Misiones,Sud América,2,2,4,"['32', '69']","['83', '86']",3.0,2.88,2.3,2.4,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,Uruguay Segunda División,2022,2022-03-19 21:00:00,1,Central Español,Racing,1,1,2,['63'],['70'],2.25,2.88,1.57,2.4,2.05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Uruguay Segunda División,2022,2022-03-20 10:15:00,1,Cerro,Villa Española,0,1,1,[],['50'],0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Uruguay Segunda División,2022,2022-03-20 16:00:00,1,La Luz,Progreso,1,0,1,['42'],[],3.6,3.1,1.95,2.2,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Uruguay Segunda División,2022,2022-03-25 13:45:00,2,Juventud,Villa Española,1,0,1,['42'],[],1.64,2.9,2.1,2.4,1.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Uruguay Segunda División,2022,2022-03-25 16:00:00,2,Sud América,Central Español,1,0,1,['6'],[],1.5,3.0,2.4,2.3,1.86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Uruguay Segunda División,2022,2022-03-25 16:00:00,2,Miramar Misiones,Uruguay Montevideo FC,1,3,4,['80'],"['17', '22', '37']",1.71,2.88,2.0,2.4,1.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,Uruguay Segunda División,2022,2022-03-25 16:00:00,2,Progreso,Cerro,2,1,3,"['6', '90+5']",['45+2'],1.57,3.1,2.25,2.25,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
