Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1597222,Venezuela Primera División,2022,2022-02-24 18:00:00,1,Deportivo La Guaira,Metropolitanos,1,0,1,['45+2'],[],2.55,3.0,2.5,2.3,1.52,2.0,1.71
2,1597223,Venezuela Primera División,2022,2022-02-24 20:15:00,1,Academia Puerto Cabello,Portuguesa,1,1,2,['60'],['48'],2.0,3.1,3.3,2.1,1.64,1.83,1.86
3,1597224,Venezuela Primera División,2022,2022-02-25 18:00:00,1,UCV,Carabobo,0,0,0,[],[],2.41,2.99,2.77,2.08,1.78,1.9,1.8
4,1597225,Venezuela Primera División,2022,2022-02-25 20:15:00,1,Hermanos Colmenares,Zamora,1,1,2,['34'],['80'],2.83,3.12,2.29,1.96,1.88,1.75,1.98
5,1597226,Venezuela Primera División,2022,2022-02-26 18:00:00,1,Mineros de Guayana,Monagas,1,3,4,['63'],"['17', '31', '48']",2.58,3.17,2.46,2.02,1.83,1.75,1.95
6,1597227,Venezuela Primera División,2022,2022-02-26 20:15:00,1,Caracas,Aragua,1,0,1,['12'],[],1.53,3.73,5.3,1.93,1.78,2.05,1.7
7,1597228,Venezuela Primera División,2022,2022-02-27 16:00:00,1,Estudiantes Mérida,Deportivo Táchira,1,2,3,['59'],"['13', '73']",3.12,3.13,2.13,2.05,1.7,1.85,1.85
8,1597229,Venezuela Primera División,2022,2022-02-27 18:30:00,1,Zulia,Deportivo Lara,0,1,1,[],['88'],2.97,2.98,2.29,2.15,1.61,1.88,1.82
9,1597230,Venezuela Primera División,2022,2022-03-03 18:00:00,2,Metropolitanos,UCV,2,0,2,"['14', '58']",[],2.1,2.8,3.7,2.15,1.62,2.04,1.74
10,1597231,Venezuela Primera División,2022,2022-03-03 20:15:00,2,Deportivo Lara,Caracas,1,1,2,['39'],['48'],2.45,2.75,3.0,2.45,1.46,1.97,1.8
11,1597232,Venezuela Primera División,2022,2022-03-04 18:00:00,2,Aragua,Hermanos Colmenares,1,0,1,['90+12'],[],2.04,3.4,3.5,2.1,1.67,1.8,1.9
12,1597233,Venezuela Primera División,2022,2022-03-04 20:15:00,2,Zamora,Estudiantes Mérida,2,0,2,"['18', '90+1']",[],1.97,3.52,3.6,1.87,1.83,1.85,1.91
13,1597234,Venezuela Primera División,2022,2022-03-05 18:00:00,2,Deportivo Táchira,Zulia,3,0,3,"['17', '83', '90+2']",[],1.62,3.98,5.05,1.82,2.03,1.92,1.82
14,1597235,Venezuela Primera División,2022,2022-03-05 20:15:00,2,Carabobo,Monagas,1,2,3,['19'],"['81', '90+2']",2.6,3.32,2.6,2.01,1.84,1.8,1.97
15,1597236,Venezuela Primera División,2022,2022-03-06 16:00:00,2,Deportivo La Guaira,Academia Puerto Cabello,2,1,3,"['84', '90+5']",['69'],1.75,3.2,4.2,2.17,1.62,1.87,1.83
16,1597237,Venezuela Primera División,2022,2022-03-06 18:30:00,2,Portuguesa,Mineros de Guayana,0,2,2,[],"['42', '90+2']",1.95,3.2,3.3,2.08,1.67,2.05,1.7
17,1597238,Venezuela Primera División,2022,2022-03-10 18:00:00,3,Mineros de Guayana,Deportivo Lara,1,0,1,['71'],[],2.67,2.91,2.49,2.12,1.64,2.08,1.7
18,1597239,Venezuela Primera División,2022,2022-03-10 20:15:00,3,Academia Puerto Cabello,Aragua,2,1,3,"['33', '90+4']",['40'],2.46,2.92,2.7,2.18,1.61,2.18,1.64
19,1597240,Venezuela Primera División,2022,2022-03-11 16:00:00,3,Estudiantes Mérida,Carabobo,0,0,0,[],[],2.29,3.32,3.02,2.17,1.61,1.82,1.88
20,1597241,Venezuela Primera División,2022,2022-03-11 18:15:00,3,Zulia,Metropolitanos,1,2,3,['22'],"['57', '86']",2.83,3.3,2.42,2.01,1.71,1.8,1.9
