Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Venezuela Primera División,2021,2021-04-11 20:30:00,1,Deportivo La Guaira,Aragua,0,0,0,[],[],1.75,3.2,4.6,1.6,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Venezuela Primera División,2021,2021-04-15 19:00:00,1,Deportivo Táchira,Hermanos Colmenares,2,1,3,"['45+2', '62']",['6'],1.36,4.1,7.5,1.75,2.05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,Venezuela Primera División,2021,2021-04-15 21:15:00,1,Monagas,Mineros de Guayana,2,0,2,"['58', '75']",[],2.95,3.1,2.25,2.0,1.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,Venezuela Primera División,2021,2021-04-16 17:00:00,1,Atlético Venezuela,Metropolitanos,3,2,5,"['24', '40', '42']","['4', '75']",2.25,3.1,3.0,2.32,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,Venezuela Primera División,2021,2021-04-16 20:15:00,1,Estudiantes Mérida,Trujillanos,4,0,4,"['17', '59', '80', '89']",[],2.25,3.2,2.9,1.93,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,Venezuela Primera División,2021,2021-04-17 17:00:00,1,Caracas,UCV,2,0,2,"['29', '81']",[],1.45,3.8,7.0,1.73,2.13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,Venezuela Primera División,2021,2021-04-17 19:30:00,1,Deportivo Lara,Yaracuyanos,1,2,3,['36'],"['6', '18']",1.5,3.6,7.0,1.65,2.14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,Venezuela Primera División,2021,2021-04-18 18:00:00,1,Gran Valencia,Carabobo,1,0,1,['58'],[],2.25,3.1,3.1,1.65,1.89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Venezuela Primera División,2021,2021-04-18 20:00:00,1,Zamora,Portuguesa,0,0,0,[],[],1.77,3.3,3.85,1.87,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Venezuela Primera División,2021,2021-04-22 17:00:00,2,LALA,Caracas,1,0,1,['34'],[],4.4,3.4,1.64,2.0,2.08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Venezuela Primera División,2021,2021-04-22 19:15:00,2,Hermanos Colmenares,Estudiantes Mérida,4,2,6,"['45+1', '66', '81', '83']","['49', '78']",3.95,3.1,1.8,1.95,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,Venezuela Primera División,2021,2021-04-22 21:30:00,2,Carabobo,Deportivo Lara,1,1,2,['30'],['59'],3.5,3.4,1.8,2.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,Venezuela Primera División,2021,2021-04-23 17:00:00,2,Mineros de Guayana,Atlético Venezuela,1,0,1,['45+1'],[],2.3,3.25,2.9,1.83,1.74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Venezuela Primera División,2021,2021-04-23 20:00:00,2,Trujillanos,Zamora,0,4,4,[],"['12', '19', '26', '63']",5.75,3.2,1.54,1.8,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,Venezuela Primera División,2021,2021-04-24 17:00:00,2,Zulia,Deportivo Táchira,5,0,5,"['4', '7', '35', '43', '66']",[],2.96,3.26,2.35,2.03,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,Venezuela Primera División,2021,2021-04-24 19:15:00,2,Academia Puerto Cabello,Deportivo La Guaira,0,0,0,[],[],2.8,2.65,2.55,2.35,2.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Venezuela Primera División,2021,2021-04-25 17:00:00,2,Aragua,Gran Valencia,0,2,2,[],"['49', '79']",1.61,3.45,4.5,1.95,1.95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Venezuela Primera División,2021,2021-04-25 19:15:00,2,UCV,Monagas,0,2,2,[],"['26', '44']",2.8,3.1,2.2,2.05,1.91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Venezuela Primera División,2021,2021-04-29 17:00:00,3,Estudiantes Mérida,Zulia,1,0,1,['72'],[],1.91,3.2,3.2,1.96,1.79,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Venezuela Primera División,2021,2021-04-29 19:15:00,3,Monagas,LALA,1,1,2,['74'],['79'],1.69,3.2,4.05,2.25,2.01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,Venezuela Primera División,2021,2021-04-29 21:30:00,3,Gran Valencia,Academia Puerto Cabello,0,0,0,[],[],3.13,3.2,2.2,1.67,1.94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Venezuela Primera División,2021,2021-04-30 17:00:00,3,Atlético Venezuela,UCV,1,1,2,['53'],['26'],2.15,3.1,3.2,2.25,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,Venezuela Primera División,2021,2021-04-30 20:00:00,3,Zamora,Hermanos Colmenares,2,2,4,"['53', '86']","['79', '90+4']",1.85,3.5,3.5,2.05,1.87,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,Venezuela Primera División,2021,2021-05-01 18:00:00,3,Metropolitanos,Caracas,1,3,4,['34'],"['16', '25', '60']",4.16,3.62,1.82,1.97,1.83,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,Venezuela Primera División,2021,2021-05-01 20:15:00,3,Portuguesa,Deportivo Táchira,0,3,3,[],"['42', '45+2', '48']",2.88,3.0,2.3,2.19,1.91,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Venezuela Primera División,2021,2021-05-02 18:00:00,3,Yaracuyanos,Deportivo La Guaira,0,2,2,[],"['38', '42']",3.24,3.05,2.33,2.55,2.19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Venezuela Primera División,2021,2021-05-02 21:30:00,3,Deportivo Lara,Aragua,4,1,5,"['13', '19', '65', '72']",['82'],1.67,3.4,4.75,2.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,Venezuela Primera División,2021,2021-05-06 17:00:00,4,Zulia,Zamora,3,3,6,"['15', '19', '27']","['45', '51', '75']",2.5,3.2,2.5,2.17,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,Venezuela Primera División,2021,2021-05-06 20:00:00,4,Academia Puerto Cabello,Deportivo Lara,0,3,3,[],"['36', '73', '85']",2.65,3.05,2.35,2.1,1.95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Venezuela Primera División,2021,2021-05-07 18:00:00,4,Caracas,Mineros de Guayana,3,0,3,"['34', '50', '53']",[],1.32,4.15,7.0,1.91,2.45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,Venezuela Primera División,2021,2021-05-08 17:00:00,4,LALA,Atlético Venezuela,2,2,4,"['70', '77']","['29', '50']",2.8,3.0,2.35,2.05,1.83,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,Venezuela Primera División,2021,2021-05-08 19:15:00,4,Gran Valencia,Yaracuyanos,1,0,1,['2'],[],2.5,2.9,2.7,2.2,1.88,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Venezuela Primera División,2021,2021-05-08 21:30:00,4,Deportivo Táchira,Trujillanos,2,0,2,"['1', '40']",[],1.27,5.6,10.0,1.55,2.05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,Venezuela Primera División,2021,2021-05-09 17:00:00,4,Deportivo La Guaira,Carabobo,4,2,6,"['15', '17', '24', '45+1']","['2', '52']",1.53,3.55,5.75,2.15,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,Venezuela Primera División,2021,2021-05-09 19:15:00,4,Estudiantes Mérida,Portuguesa,0,2,2,[],"['51', '90+6']",1.63,3.3,5.25,1.9,1.89,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Venezuela Primera División,2021,2021-05-13 18:00:00,5,Yaracuyanos,Carabobo,1,2,3,['69'],"['25', '47']",1.53,3.3,5.75,1.91,1.95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37,Venezuela Primera División,2021,2021-05-13 20:15:00,5,Portuguesa,Trujillanos,5,0,5,"['30', '37', '45', '54', '80']",[],1.3,4.15,8.0,1.35,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,Venezuela Primera División,2021,2021-05-14 17:00:00,5,Caracas,Monagas,2,0,2,"['42', '60']",[],1.73,3.4,4.2,2.07,1.95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
