Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Venezuela Primera División,2022,2022-02-24 18:00:00,1,Deportivo La Guaira,Metropolitanos,1,0,1,['45+2'],[],2.55,3.0,2.5,2.3,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Venezuela Primera División,2022,2022-02-24 20:15:00,1,Academia Puerto Cabello,Portuguesa,1,1,2,['60'],['48'],2.0,3.1,3.3,2.1,1.83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Venezuela Primera División,2022,2022-02-25 18:00:00,1,UCV,Carabobo,0,0,0,[],[],2.41,2.99,2.77,2.08,1.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Venezuela Primera División,2022,2022-02-25 20:15:00,1,Hermanos Colmenares,Zamora,1,1,2,['34'],['80'],2.83,3.12,2.29,1.96,1.75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Venezuela Primera División,2022,2022-02-26 18:00:00,1,Mineros de Guayana,Monagas,1,3,4,['63'],"['17', '31', '48']",2.58,3.17,2.46,2.02,1.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,Venezuela Primera División,2022,2022-02-26 20:15:00,1,Caracas,Aragua,1,0,1,['12'],[],1.53,3.73,5.3,1.93,2.05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Venezuela Primera División,2022,2022-02-27 16:00:00,1,Estudiantes Mérida,Deportivo Táchira,1,2,3,['59'],"['13', '73']",3.12,3.13,2.13,2.05,1.85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,Venezuela Primera División,2022,2022-02-27 18:30:00,1,Zulia,Deportivo Lara,0,1,1,[],['88'],2.97,2.98,2.29,2.15,1.88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Venezuela Primera División,2022,2022-03-03 18:00:00,2,Metropolitanos,UCV,2,0,2,"['14', '58']",[],2.1,2.8,3.7,2.15,2.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,Venezuela Primera División,2022,2022-03-03 20:15:00,2,Deportivo Lara,Caracas,1,1,2,['39'],['48'],2.45,2.75,3.0,2.45,1.97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,Venezuela Primera División,2022,2022-03-04 18:00:00,2,Aragua,Hermanos Colmenares,1,0,1,['90+12'],[],2.04,3.4,3.5,2.1,1.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
