Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Venezuela Segunda División,2022,2022-03-26 16:30:00,1,Yaracuyanos,Petare,0,0,0,[],[],1.91,3.25,3.5,2.15,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Venezuela Segunda División,2022,2022-03-26 16:30:00,1,Real Frontera,Ureña,1,1,2,['45+2'],['64'],2.4,3.0,2.8,2.15,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Venezuela Segunda División,2022,2022-03-26 17:00:00,1,Academia Anzoátegui,Dynamo Puerto La Cruz,3,0,3,"['20', '23', '90+1']",[],2.3,3.1,2.8,2.15,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,Venezuela Segunda División,2022,2022-03-26 18:00:00,1,Héroes de Falcón,Rayo Zuliano,1,1,2,['45+2'],['36'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Venezuela Segunda División,2022,2022-03-27 16:00:00,1,Fundación Lara Deportiva,Trujillanos,1,1,2,['78'],['60'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Venezuela Segunda División,2022,2022-03-27 17:00:00,1,Atlético El Vigía,ULA,0,0,0,[],[],2.5,3.2,2.5,2.2,1.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Venezuela Segunda División,2022,2022-03-27 17:00:00,1,Llaneros de Guanare,Titanes,0,0,0,[],[],0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Venezuela Segunda División,2022,2022-03-27 18:00:00,1,Angostura,Nueva Esparta,3,1,4,"['43', '45+1', '50']",['84'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,Venezuela Segunda División,2022,2022-03-28 18:00:00,1,Fundación AIFI,Bolívar,0,0,0,[],[],3.2,3.2,2.1,2.4,2.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Venezuela Segunda División,2022,2022-03-28 18:00:00,1,Libertador,Atlético La Cruz,1,0,1,['56'],[],2.8,3.0,2.3,2.35,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Venezuela Segunda División,2022,2022-04-02 16:00:00,2,Nueva Esparta,Yaracuyanos,0,2,2,[],"['50', '65']",0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Venezuela Segunda División,2022,2022-04-02 17:00:00,2,Titanes,Rayo Zuliano,1,1,2,['40'],['90+3'],2.05,2.88,3.6,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,Venezuela Segunda División,2022,2022-04-02 17:00:00,2,Trujillanos,Real Frontera,2,0,2,"['-1', '-1']",[],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,Venezuela Segunda División,2022,2022-04-02 17:00:00,2,Ureña,Llaneros de Guanare,2,1,3,"['44', '73']",['61'],1.85,3.25,3.75,0.0,1.77,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,Venezuela Segunda División,2022,2022-04-02 18:00:00,2,Bolívar,Libertador,0,2,2,[],"['30', '34']",2.3,2.88,3.0,2.6,2.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Venezuela Segunda División,2022,2022-04-02 18:00:00,2,Angostura,Academia Anzoátegui,2,0,2,"['6', '83']",[],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,Venezuela Segunda División,2022,2022-04-03 12:00:00,2,ULA,Fundación Lara Deportiva,0,0,0,[],[],2.3,3.0,2.9,2.4,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Venezuela Segunda División,2022,2022-04-03 16:00:00,2,Petare,Fundación AIFI,1,0,1,['41'],[],2.0,3.0,3.6,2.6,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Venezuela Segunda División,2022,2022-04-03 17:00:00,2,Atlético El Vigía,Héroes de Falcón,0,1,1,[],['88'],0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
