Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Venezuela Segunda División,2021,2021-07-11 16:00:00,1,Atlético El Vigía,ULA,2,0,2,"['3', '30']",[],2.2,3.4,2.75,1.7,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,Venezuela Segunda División,2021,2021-07-16 12:00:00,1,Petare,Dynamo Puerto La Cruz,1,1,2,['28'],['61'],1.73,3.5,4.0,1.95,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Venezuela Segunda División,2021,2021-07-17 16:30:00,1,Fundación AIFI,Bolívar,1,4,5,['90+2'],"['4', '12', '67', '90']",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,Venezuela Segunda División,2021,2021-07-17 16:30:00,1,Libertador,Atlético La Cruz,1,0,1,['73'],[],0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Venezuela Segunda División,2021,2021-07-17 16:30:00,1,Titanes,JBL Zulia,2,0,2,"['33', '50']",[],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,Venezuela Segunda División,2021,2021-07-17 16:30:00,1,Ureña,Real Frontera,0,1,1,[],['74'],0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Venezuela Segunda División,2021,2021-07-17 17:00:00,1,Rayo Zuliano,Yaracuy,0,0,0,[],[],0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Venezuela Segunda División,2021,2021-07-17 18:00:00,1,Angostura,Minervén,7,0,7,"['-1', '-1', '-1', '-1', '-1', '-1', '-1']",[],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,Venezuela Segunda División,2021,2021-07-18 16:30:00,1,Fundación Lara Deportiva,Llaneros de Guanare,5,1,6,"['15', '31', '44', '66', '70']",['55'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,Venezuela Segunda División,2021,2021-07-21 12:00:00,2,ULA,Ureña,1,1,2,['52'],['13'],1.91,3.75,3.1,1.7,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,Venezuela Segunda División,2021,2021-07-21 16:00:00,2,Real Frontera,Rayo Zuliano,0,0,0,[],[],2.0,3.4,3.1,2.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Venezuela Segunda División,2021,2021-07-21 16:00:00,2,Fundación Lara Deportiva,Yaracuy,1,0,1,['90+2'],[],2.0,3.5,3.1,1.7,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Venezuela Segunda División,2021,2021-07-21 16:30:00,2,JBL Zulia,Atlético El Vigía,2,1,3,"['64', '90+3']",['5'],3.2,3.25,2.05,1.67,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,Venezuela Segunda División,2021,2021-07-21 17:00:00,2,Llaneros de Guanare,Titanes,1,0,1,['45+1'],[],0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Venezuela Segunda División,2021,2021-07-24 16:00:00,2,Dynamo Puerto La Cruz,Angostura,0,1,1,[],['60'],2.0,3.3,3.2,2.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Venezuela Segunda División,2021,2021-07-24 16:30:00,3,Ureña,JBL Zulia,1,0,1,['52'],[],2.0,3.3,3.2,2.1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Venezuela Segunda División,2021,2021-07-24 16:30:00,2,Bolívar,Libertador,1,0,1,['-1'],[],0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Venezuela Segunda División,2021,2021-07-25 12:30:00,3,Titanes,Fundación Lara Deportiva,2,1,3,"['52', '86']",['89'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
