Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1283117,Wales Welsh Premier League,2021/2022,2021-08-13 15:45:00,1,Cefn Druids,Connah's Quay,0,2,2,[],"['2', '55']",20.0,8.5,1.09,1.36,2.65,2.55,1.4
2,1283118,Wales Welsh Premier League,2021/2022,2021-08-14 10:30:00,1,Aberystwyth Town,Barry Town United,2,1,3,"['43', '90']",['23'],2.65,3.35,2.15,1.59,2.1,1.53,2.2
3,1283119,Wales Welsh Premier League,2021/2022,2021-08-14 10:30:00,1,Bala Town,Penybont,2,2,4,"['28', '50']","['11', '56']",1.65,3.8,3.75,1.45,2.35,1.51,2.2
4,1283121,Wales Welsh Premier League,2021/2022,2021-08-14 10:30:00,1,Cardiff MU,Flint Town United,1,5,6,['90+1'],"['8', '60', '70', '78', '88']",1.83,3.5,3.2,1.54,2.15,1.53,2.2
5,1283120,Wales Welsh Premier League,2021/2022,2021-08-14 13:15:00,1,Caernarfon Town,Haverfordwest County,2,0,2,"['73', '90+4']",[],1.77,3.65,3.4,1.47,2.3,1.48,2.3
6,1283116,Wales Welsh Premier League,2021/2022,2021-08-15 10:30:00,1,Newtown,The New Saints,1,4,5,['40'],"['24', '49', '57', '75']",5.75,4.65,1.36,1.43,2.45,1.62,2.0
7,1283122,Wales Welsh Premier League,2021/2022,2021-08-20 15:45:00,2,Haverfordwest County,Cardiff MU,0,0,0,[],[],2.85,3.45,2.0,1.57,2.1,1.53,2.2
8,1283123,Wales Welsh Premier League,2021/2022,2021-08-20 15:45:00,2,Connah's Quay,Aberystwyth Town,1,0,1,['30'],[],1.24,5.5,8.25,1.37,2.6,1.74,1.87
9,1283126,Wales Welsh Premier League,2021/2022,2021-08-21 10:30:00,2,Penybont,Newtown,1,1,2,['15'],['43'],2.05,3.45,2.8,1.62,2.0,1.59,2.05
10,1283127,Wales Welsh Premier League,2021/2022,2021-08-21 10:30:00,2,The New Saints,Caernarfon Town,5,3,8,"['5', '23', '29', '73', '90+4']","['18', '67', '85']",1.11,8.0,15.0,1.36,2.7,2.15,1.56
11,1283125,Wales Welsh Premier League,2021/2022,2021-08-21 10:30:00,2,Flint Town United,Cefn Druids,4,0,4,"['21', '30', '79', '83']",[],1.33,4.75,6.5,1.49,2.25,1.71,1.87
12,1283124,Wales Welsh Premier League,2021/2022,2021-08-21 13:15:00,2,Barry Town United,Bala Town,0,0,0,[],[],3.85,3.65,1.67,1.54,2.15,1.59,2.05
13,1283128,Wales Welsh Premier League,2021/2022,2021-08-27 15:45:00,3,Caernarfon Town,Newtown,0,2,2,[],"['52', '85']",2.6,3.3,2.2,1.48,2.3,1.42,2.45
14,1283129,Wales Welsh Premier League,2021/2022,2021-08-28 10:30:00,3,Bala Town,Cardiff MU,0,0,0,[],[],1.54,4.05,4.3,1.56,2.15,1.67,1.95
15,1283130,Wales Welsh Premier League,2021/2022,2021-08-28 10:30:00,3,Cefn Druids,Barry Town United,1,4,5,['30'],"['38', '71', '75', '90+3']",4.45,4.05,1.51,1.53,2.15,1.67,1.95
16,1283131,Wales Welsh Premier League,2021/2022,2021-08-28 10:30:00,3,Flint Town United,Aberystwyth Town,1,0,1,['90+4'],[],1.57,3.7,4.45,1.54,2.15,1.61,2.05
17,1283132,Wales Welsh Premier League,2021/2022,2021-08-28 10:30:00,3,Haverfordwest County,The New Saints,0,1,1,[],['44'],8.75,6.5,1.2,1.4,2.5,1.95,1.67
18,1283133,Wales Welsh Premier League,2021/2022,2021-08-28 13:15:00,3,Penybont,Connah's Quay,1,1,2,['21'],['34'],4.8,3.9,1.5,1.71,1.87,1.87,1.71
19,1283138,Wales Welsh Premier League,2021/2022,2021-08-31 15:45:00,4,The New Saints,Flint Town United,1,0,1,['49'],[],1.18,6.5,9.75,1.34,2.75,1.8,1.8
20,1283134,Wales Welsh Premier League,2021/2022,2021-08-31 15:45:00,4,Barry Town United,Haverfordwest County,3,2,5,"['30', '66', '89']","['33', '45+1']",2.15,3.0,2.95,1.83,1.77,1.67,1.95
21,1283135,Wales Welsh Premier League,2021/2022,2021-08-31 15:45:00,4,Cardiff MU,Penybont,3,2,5,"['36', '55', '64']","['3', '90+1']",2.05,3.25,2.9,1.54,2.15,1.48,2.3
