League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Australia A-League,2023-01-27 05:45:00,14,Newcastle Jets FC,Brisbane Roar,2.8,3.2,2.55,1.05,11.0,1.3,3.4,2.0,1.86,1.42,2.78,1.72,2.05,1.52,1.28,1.47,1.17,1.6,1.43,1.4,2.83,2.1,8.0,1.91,1.14,1.29,1.57,1.98,2.4
Egypt Egyptian Premier League,2023-01-27 09:45:00,16,Aswan FC,El Geish,2.88,2.85,2.74,1.09,7.25,1.45,2.6,2.3,1.48,1.54,2.4,1.9,1.83,1.44,1.41,1.4,1.57,0.5,1.4,1.2,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt Egyptian Premier League,2023-01-27 12:00:00,16,Ismaily SC,El Daklyeh FC,2.02,2.87,4.49,1.11,5.74,1.49,2.43,2.35,1.46,1.53,2.3,2.12,1.66,1.21,1.39,1.71,0.29,1.0,1.28,1.16,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia Prva HNL,2023-01-27 13:00:00,19,Varaždin,Slaven Koprivnica,2.15,3.2,3.1,0.0,0.0,0.0,0.0,2.08,1.73,0.0,0.0,1.83,1.83,0.0,0.0,0.0,1.11,1.67,1.77,1.21,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poland Ekstraklasa,2023-01-27 14:00:00,18,Miedź Legnica,Radomiak Radom,2.3,3.02,2.75,1.07,7.5,1.33,3.1,1.74,1.87,1.44,2.63,1.8,1.95,1.47,1.28,1.47,1.0,1.63,1.44,1.57,3.01,1.95,8.0,2.1,0.0,0.0,1.95,0.0,0.0
Turkey Süper Lig,2023-01-27 14:00:00,21,Beşiktaş,Alanyaspor,1.61,3.95,4.6,1.02,12.0,1.15,4.75,1.57,2.21,1.29,3.5,1.6,2.25,1.15,1.22,2.3,2.22,0.67,2.29,1.58,3.87,1.4,9.0,3.4,1.2,1.48,1.73,2.1,2.7
Egypt Egyptian Premier League,2023-01-27 14:00:00,16,Al Mokawloon,Al Ittihad,2.43,2.8,3.39,1.09,7.75,1.42,2.75,2.32,1.47,1.49,2.51,1.95,1.81,1.34,1.34,1.61,2.14,1.29,1.64,1.49,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany 2. Bundesliga,2023-01-27 14:30:00,18,Fortuna Düsseldorf,Magdeburg,1.67,4.1,4.5,1.03,11.0,1.18,4.5,1.6,2.09,1.29,3.5,1.62,2.2,1.21,1.23,2.1,2.0,1.11,1.78,1.61,3.39,1.64,8.5,2.76,1.18,1.43,1.7,2.1,2.63
Germany 2. Bundesliga,2023-01-27 14:30:00,18,Karlsruher SC,Paderborn,2.55,3.5,2.5,1.04,10.0,1.2,4.33,1.56,2.16,1.33,3.25,1.53,2.38,1.51,1.27,1.49,1.22,1.0,1.94,1.56,3.5,1.69,8.5,2.53,1.2,1.48,1.73,2.1,2.7
Italy Serie A,2023-01-27 14:30:00,20,Bologna,Spezia,1.91,3.4,4.0,1.06,9.0,1.31,3.2,1.88,2.0,1.4,2.75,1.8,1.95,1.23,1.35,1.97,1.6,0.67,1.49,1.36,2.85,1.65,8.0,2.63,1.38,1.63,2.0,2.55,3.45
Germany 3. Liga,2023-01-27 15:00:00,20,Elversberg,Rot-Weiss Essen,1.53,3.56,4.43,1.0,10.5,1.19,4.2,1.61,2.15,1.32,3.1,1.68,2.05,1.16,1.24,2.25,2.4,1.3,2.04,1.61,3.65,0.0,0.0,0.0,1.22,1.48,1.73,2.1,2.7
Romania Liga I,2023-01-27 15:00:00,23,Universitatea Cluj,Rapid Bucureşti,2.9,2.77,2.15,1.09,6.5,1.49,2.55,2.5,1.43,1.54,2.36,2.0,1.75,1.5,1.3,1.28,1.45,1.27,1.89,1.36,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2023-01-27 16:00:00,22,Den Bosch,MVV,2.29,3.45,2.76,1.02,16.0,1.18,4.5,1.6,2.2,1.3,3.3,1.52,2.4,1.42,1.25,1.58,1.36,1.0,1.46,1.15,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2023-01-27 16:00:00,22,Eindhoven,Heracles,2.85,3.5,2.35,1.04,12.0,1.25,3.5,1.82,1.9,1.39,3.03,1.78,2.04,1.65,1.31,1.38,2.1,1.9,1.27,1.4,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2023-01-27 16:00:00,22,Helmond Sport,Ajax II,2.56,3.47,2.44,1.02,19.0,1.15,5.0,1.52,2.4,1.27,3.5,1.45,2.55,1.52,1.25,1.48,1.3,1.0,1.46,1.62,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2023-01-27 16:00:00,22,NAC Breda,AZ II,2.27,3.32,2.87,1.04,12.0,1.25,3.6,1.8,1.9,1.38,2.9,1.65,2.1,1.38,1.27,1.58,1.4,1.3,1.48,1.32,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2023-01-27 16:00:00,22,PEC Zwolle,Oss,1.2,6.5,13.0,1.01,23.0,1.14,5.25,1.48,2.5,1.24,3.7,2.02,1.78,1.04,1.11,4.82,2.09,0.8,1.92,0.87,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2023-01-27 16:00:00,22,Roda JC,Dordrecht,1.55,4.33,5.5,1.02,17.0,1.19,4.4,1.6,2.2,1.3,3.3,1.72,2.1,1.14,1.21,2.46,1.56,1.09,1.67,1.08,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2023-01-27 16:00:00,22,Telstar,Almere City,2.7,3.6,2.45,1.03,14.0,1.2,4.1,1.68,2.05,1.32,3.1,1.6,2.27,1.56,1.29,1.44,1.64,1.3,1.5,1.43,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2023-01-27 16:00:00,22,VVV,ADO Den Haag,2.25,3.65,2.92,1.04,10.0,1.22,4.0,1.67,2.1,1.3,3.4,1.6,2.25,1.4,1.28,1.63,1.3,1.1,1.32,1.66,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium First Division B,2023-01-27 16:00:00,20,KMSK Deinze,Club Brugge II,1.73,3.57,3.66,0.0,0.0,0.0,0.0,1.49,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,1.22,1.32,1.04,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium First Division B,2023-01-27 16:00:00,20,Beerschot-Wilrijk,KRC Genk II,1.36,4.38,5.92,0.0,0.0,0.0,0.0,1.45,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.56,2.05,1.7,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland Challenge League,2023-01-27 16:15:00,19,Vaduz,Wil,2.16,3.37,2.44,0.0,0.0,0.0,0.0,1.58,2.19,0.0,0.0,1.5,2.5,0.0,0.0,0.0,1.11,1.22,1.89,1.43,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poland Ekstraklasa,2023-01-27 16:30:00,18,Stal Mielec,Lech Poznań,3.15,3.45,2.08,1.04,10.0,1.22,4.0,1.67,2.05,1.33,3.25,1.67,2.1,1.9,1.22,1.25,1.75,2.14,1.59,1.85,3.44,2.78,8.5,1.59,0.0,0.0,0.0,0.0,0.0
Germany Bundesliga,2023-01-27 16:30:00,18,RB Leipzig,Stuttgart,1.44,4.6,5.5,1.02,17.0,1.19,4.75,1.57,2.2,1.29,3.25,1.68,2.0,1.14,1.2,2.45,2.5,0.5,1.75,1.46,3.21,1.45,8.5,3.4,1.36,1.62,2.0,2.5,3.3
Italy Serie B,2023-01-27 16:30:00,22,Cagliari,SPAL,1.75,3.4,4.6,1.08,7.0,1.36,3.0,2.05,1.62,1.4,2.75,2.0,1.73,1.17,1.3,2.0,1.91,1.2,1.85,1.4,3.25,1.41,9.0,3.48,1.25,1.47,1.88,2.45,3.4
Belgium Pro League,2023-01-27 16:45:00,23,Standard Liège,AS Eupen,1.53,4.0,5.5,1.04,12.0,1.25,3.75,1.72,1.93,1.35,3.1,1.75,1.95,1.17,1.25,2.1,1.82,1.0,1.55,1.36,2.91,1.37,8.0,3.75,1.17,1.43,1.7,2.1,2.63
Italy Serie A,2023-01-27 16:45:00,20,Lecce,Salernitana,1.8,3.5,4.33,1.07,10.0,1.36,3.2,1.94,1.94,1.44,2.63,1.95,1.8,1.22,1.26,1.96,1.22,0.67,1.34,1.18,2.52,1.6,8.0,2.75,1.38,1.63,2.02,2.55,3.45
France Ligue 1,2023-01-27 17:00:00,20,Lorient,Rennes,3.9,3.5,1.87,1.04,12.0,1.3,3.6,1.68,2.02,1.36,3.0,1.75,2.0,1.9,1.24,1.26,1.56,1.11,1.58,1.75,3.33,2.5,8.2,1.77,1.3,1.59,2.01,2.62,3.56
Spain Segunda División,2023-01-27 17:00:00,25,Racing Santander,CD Tenerife,2.4,2.7,3.1,1.12,5.5,1.53,2.3,2.66,1.38,1.6,2.25,2.2,1.62,1.36,1.4,1.44,0.91,0.83,1.58,1.08,2.66,1.75,7.5,2.53,1.4,1.67,2.1,2.63,0.0
Spain La Liga,2023-01-27 17:00:00,19,Almería,RCD Espanyol,2.4,3.1,3.0,1.07,9.5,1.35,3.25,1.98,1.68,1.44,2.63,1.8,1.95,1.38,1.33,1.55,1.78,1.22,1.37,1.13,2.5,1.88,7.5,2.18,1.35,1.58,1.94,2.45,3.25
Chile Primera División,2023-01-27 18:30:00,2,Ñublense,Magallanes,1.65,3.42,4.35,1.06,8.0,1.3,3.4,1.8,1.8,1.4,2.75,1.85,1.85,1.15,1.25,2.15,0.0,0.0,0.0,0.0,0.0,1.74,7.9,2.6,1.33,1.62,2.08,2.72,3.74
8783,2023-01-27 19:00:00,1,Libertad,Guaraní,1.42,4.1,6.45,0.0,0.0,0.0,0.0,1.81,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8595,2023-01-27 19:15:00,1,Rosario Central,Argentinos Juniors,3.02,2.86,2.5,1.12,5.5,1.55,2.3,2.6,1.42,1.57,2.25,2.2,1.62,1.53,1.4,1.33,0.0,0.0,0.0,0.0,0.0,2.3,7.0,1.9,1.26,1.51,1.91,2.46,3.34
Chile Primera División,2023-01-27 21:00:00,2,Unión La Calera,Everton,2.07,3.19,3.0,1.07,9.0,1.38,3.0,1.87,1.74,1.44,2.55,1.85,1.83,1.39,1.32,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,1.58,2.02,2.7,3.8
